,questions,answers
0,Q.1. Correct and rewrite the sentence:The notions of security can be divided under three heads.,Ans. False. The notions of security can be divided under two heads: Traditional and Non-traditional.
1,Q.2. Match the following:  i. ii. iii. iv.  ‘A’ Anti-ballistic Missile Treaty (1972) Amnesty International New sources of Threat Security  a. b. c. d.  ‘B’ NGO. Freedom from threats. Arms Control. Human Rights. ,"Ans. (i) – (c), (ii) – (a), (iii) – (d), (iv) – (b)."
2,"Q.3. Fill up: Values related to sovereignty, independence and territorial integrity of a country are known as ___________ values.",Ans. Core.
3,Q.4. State True or False. Britain lost million dollars due to ‘Mad Cow’ disease in late 1990s.,Ans. True.
4,Q.5. What do you mean by ‘Security’?  Or Define Security. ,Ans. The basic meaning of security implies freedom from threats. Human existence and the life of a country are full of threats. Security is a state where a person feels free from threats. 
5,Q.5. What do you mean by ‘Security’?  Or Define Security. ,Ans. The basic meaning of security implies freedom from threats. Human existence and the life of a country are full of threats. Security is a state where a person feels free from threats.
6,Q.6. The conception of securities is divided into how many groups?,Ans. The conception of securities is divided into two groups: 1. Traditional 2. Non-traditional
7,Q.7. In which conception of security is military attack considered as dangerous for a country?,Ans. In traditional conception.
8,Q.8. To what security-policy is related?,Ans. To Deterrence.
9,Q.9. What is Deterrence?,Ans. Security policy is concerned with preventing war called ‘deterrence’.
10,Q.10. State two elements of Traditional Security policy.,Ans. Two elements of Traditional Security are as follows: 1. Power Balance 2. Alliance building
11,Q.11. What are the two notions of non-traditional security?,Ans. 1. Human Security 2. Global Security
12,Q.12. On what alliances are based?,Ans. Alliances are based on National interests and can change when national interest changes.
13,Q.13. What do you call a government? ,Ans. A renowned organisation which deals with internal threats and violence of a country is called a ‘government’.
14,Q.14. What is meant by ‘weapon control’?,Ans. The act of imposing restrictions on the production of weapons and to get them is termed as ‘weapon control’.
15,Q.15. What do you mean by ‘Military alliance’?,Ans. An alliance is a coalition of states that coordinate their actions to defend against military attack.
16,Q.16. What is most important in traditional conception of security?,"Ans. The most important in traditional views of security are disarmament, arms control and confidence building."
17,Q.17. What do you mean by ‘disarmament’? [CBSE (AI) 2014],Ans. The policy of controlling destructive weapons by reducing their production or by not producing them is called disarmament.
18,Q.18. What does disarmament require?,Ans. Disarmament requires all states to give up certain kinds of weapons.
19,Q.19. What was the effect of Non-proliferation Treaty?,Ans. Non-proliferation Treaty did not end atomic wars but decreased the number of countries that could get this.
20,Q.20. Non-traditional notions of security is related to what?,Ans. Non-traditional notions of security go beyond military threats to include a wide range of threats and danger affecting the conditions of human existence.
21,Q.21. Write full form of CWC.,Ans. Chemical Weapons Convention.
22,Q.22. How many countries signed CWC?,Ans. More than 181 countries.
23,Q.23. Write full form of ABMT?,Ans. Anti Ballistic Missile Treaty.
24,Q.24. Write full form of START?,Ans. Strategic Arms Reduction Treaty. 
25,Q.25. Write full form of BWC.,Ans. Biological Weapons Convention.
26,Q.26. How many Countries signed BWC?,Ans. More than 155 countries.
27,Q.27. Anti Ballistic Missile Treaty was signed between whom?,Ans. Between America and Soviet Union.
28,Q.28. What do you mean by Terrorism?,Ans. Terrorism refers to political violence that targets civilians deliberately and indiscriminately. Civilians are targeted for their personal interests.
29,Q.29. What do you mean by ‘Social Security Armor’? ,Ans. The facilities that provide social security to people are known as ‘Social Security Armor’.
30,Q.30. Which are global threats?,"Ans. Global warming, international terrorism, AIDS and bird flu are global threats."
31,Q.31. Write some new and poorly understood diseases?,"Ans. ebola virus, hanta virus and hepatitis C."
32,Q.32. Where do two-thirds of infected HIV people belong to?,Ans. Africa.
33,Q.33. How did madcow and bird flu affect countries?,Ans. Britain had lost billions of dollars of income during madcow diseases and bird flu as it had to shut down the supplies of poultry exports from several Asian countries.
34,Q.34. What do epidemics demonstrate?,"Ans. Epidemics demonstrate the growing inter-dependence of states, making their borders less meaningful than in the past and emphasise the need for international cooperation."
35,Q.35. What were the types of threats faced by India?,Ans. India has faced traditional and non-traditional threats to its security
36,Q.36. When did India first test a nuclear device?,Ans. India first tested a nuclear device in 1974. 
37,Q.37. Which initiatives were supported by India’s first Prime Minister Jawaharlal Nehru?,"Ans. He supported Asian solidarity, decolonisation and disarmament."
38,Q.38. Which protocol has given a road map in order to reduce emission of green house gases?,Ans. Kyoto Protocol.
39,Q.39. Which region of the world would be affected to 50 per cent if sea level rises by 2 metres due to global warming?,Ans. Thailand.  
