questions,answers
In which hemisphere India is located?,India is located in northern hemisphere.
What is the latitudinal extent of India?,The main land extends between latitudes 8°4′N and 37°6′N.
What is the longitudinal extent of India?,India lies between the longitudes of 68°7′E and 97°25′E.
Which tropic divides India into almost two equal parts?,The Tropics of Cancer (23°30′N).
Name the two Island groups of India.,Andaman and Nicobar Islands are located in Bay of Bengal and Lakshadweep Islands in Arabian Sea.
What is total area of Indian landmass?,Total landmass of India has an area of 3.28 million square Kms.
Which countries are bigger than India in size?,"Russsia, Canada, USA, China, Brazil and Australia."
What is the total length of coastline of the mainland including Andaman & Nicobar & Lakshadweep Islands?,"The total length of the coastline of India is 7,516.6 Kms."
Which two seas are located around India?,The Arabian sea on the west and Bay of Bengal on the east of Peninsula.
What is the time lag between Gujarat and Arunachal Pradesh?,There is a time lag of 2 hours.
What is the standard meridian of India?,The standard Meridian of India is 82°30′E.
From where does Standard Meridian pass in India? ,The Standard Meridian of India passes through Mirzapur in Uttar Pradesh.
Why 82°30′ E has been selected as the Standard Meridian of India?,82°30′E has been selected as the Standard Meridian of India since it passes almost from the centre of India.
Do you justify Indian Ocean’s name after India?,"Yes, as no other country has a longer coastline on the Indian Ocean as India has and indeed, it is India’s eminent position in the Indian Ocean which justifies the naming of an ocean after it."
How many states and union territories does India have?,India has 29 states and 7 union territories.
Which is the smallest and the largest state of India areawise?,Smallest - Goa largest - Rajasthan.
Name the states which do not have an international border or lie on the coast.,"Madhya Pradesh, Chhattisgarh, Haryana, Jharkhand."
"Name the states of India, sharing border with Pakistan.","Gujarat, Rajasthan, Punjab and Jammu and Kashmir."
Which states of India share border with China?,"Jammu and Kashmir, Himachal Pradesh, Uttrakhand, Sikkim and Arunachal Pradesh."
Name the states sharing border with Myanmar.,"Mizoram, Manipur, Nagaland and Arunachal Pradesh."
Which states of India share border with Bangladesh?,"West Bengal, Assam, Meghalaya, Tripura and Mizoram."
Which countries share their borders with India?,"India share its land boundaries with Pakistan and Afghanistan in the north west, China (Tibet), Nepal and Bhutan in the north, Myanmar and Bangladesh in the east."
Which two Island countries are India’s neighbours? ,Sri Lanka and Maldives.
Which water bodies separates Sri Lanka from India?,Sri Lanka is separated from India by a narrow channel of sea formed by the Palk Strait and the Gulf of Mannar.
Name the Eastern coastal states of India.,"Tamil Nadu, Andhra Pradesh, Orissa (Odisha) and West Bengal."
Name the Western coastal states from South to North?,"Kerala, Karnataka, Goa, Maharashtra and Gujarat."
"If you intend to visit Kavarati during summer vacation, which union territory you will be going to?",Lakshadweep Islands in Arabian Sea.
"With which country do states of Uttarakhand, Uttar Pradesh, Bihar, West Bengal and Sikkim have common frontiers?",Nepal.
Name the states through which the Tropic of Cancer passes.,"Gujarat, Madhya Pradesh, Chhattisgarh, Jharkhand, W. Bengal, Tripura and Mizoram."
Name the place situated on three seas of India.,Kanyakumari.  
