questions,answers
Why do we have representative government in most democracies?,"In most democracies, people rule through their representatives. Since it is not possible for everyone to have time and knowledge to take decisions on all matters, representation is needed."
What is the mechanism by which people can choose their representatives and change them if they wish to?,The mechanism is ‘elections’.
How are voters’ choices fulfilled by elections?,"Voters can choose their law makers, their representatives who can take major decisions of the government and can also choose the particular political party whose policies are the best."
How political parties can contribute in a condition to democratic election?,There should be something to choose from. Parties and candidates should be free to contest elections and should offer real choices to the voters. Elections must be held after every few years.
What kind of competition is offered to the people for elections?,"The most obvious form is the competition among political parties. At the constituency level, it takes the form of competition among several candidates. If there is no competition, elections will be pointless."
Give any two demerits of Electoral Competition.,(i) It creates a sense of disunity and factionalism in every locality. (ii) Pressure to win electoral fights does not allow sensible long-term policies to be formulated.
How can political leaders be made accountable to the people?,It can be done by setting up a system where political leaders are rewarded for serving the people and punished for not doing good for the sake of people. Regular electoral competition should be held through elections. 
How are general elections held in India?,"For Lok Sabha and Vidhan Sabha, elections are held after every five years. After five years the term of all the elected representatives comes to an end. This is called ‘general elections’. They are held in all constituencies at the same time."
What are By Elections?,"When elections are held only for one constituency to fill the vacancy caused by death or resignation of a member, they are called By Elections."
What are Electoral Constituencies?,The country is divided into different areas for ease in purpose of representation. These areas are called ‘electoral constituencies’.
How many constituencies do we have for Lok Sabha?,For Lok Sabha elections the country is divided into 543 constituencies.
What is an elected representative from the constituency is called?,The representative elected from each constituency is called a Member of Parliament or an MP.
How many seats are reserved for SC & ST in Lok Sabha?,"Currently in the Lok Sabha, 79 seats are reserved for the scheduled caste and 41 for the scheduled tribe."
How many seats are reserved for women at local bodies?,One third of the total seats are reserved in rural and urban local bodies for women candidates.
What is the principle of universal adult franchise?,It means that everyone should have one vote and each vote should have equal value. All the citizens aged 18 years and above have got the right to vote.
What is the Election Photo Identity Card System?,"Every voter is issued this photo identity card by the Election Commission. The voters are required to carry this card when they go out to vote, so that no one can vote for someone else."
What is a party ticket? ,Political parties nominate their candidates who get the party symbol and support. This party’s nomination is often called the party ‘ticket’.
What are the legal declarations of a party candidate?,Details of assets and liabilities of the candidate and his or her family and educational qualifications of the candidate.
Why has personal information of a candidate to be made public?,This information needs to be made public as it provides an opportunity to the voters to make their decisions on the basis of the information provided by the candidates.
What is the time period of campaigning for elections?,"In our country, such campaigns take place for a two-week period between the announcement of the final list of candidates and the date of polling."
What is a ballot paper?,A ballot paper is a sheet of paper on which the names of the contesting candidates along with party name and symbols are issued.
What is EVM?,"EVM is an electronic voting machine, which is used to record votes."
How is a vote caste on EVM?,The machine shows the names of the candidates and the party symbols. All the voter has to do is to press the button against the name of the candidate he or she wants to give vote.
What do you know about ‘Election Commission’?,"In our country, elections are conducted by an independent and very powerful election commission. It enjoys the same kind of independence that the judiciary enjoys."
What do you mean by ‘Turn out’?,Turn out indicates the percent of eligible voters who actually cast their vote.
Why do common people in India attach a lot of importance to elections? ,They feel that through elections they can bring pressure on political parties to adopt policies and programmes favourable to them.
Give any one challenge of Indian Elections.,Some families tend to dominate political parties; tickets are distributed to relatives from the families.
What is ‘booth capturing’?,Supporters or hired muscle men of a party or a candidate gain physical control of a polling booth and cast false votes by threatening everyone or by preventing genuine voters from reaching the polling booth.  
