,questions,answers
0,"Q.1. Complete the sentence: The emblem of ___________ has a world map with olive branches around it, signifying world peace.",Ans. United Nations.
1,Q.2. State True or False. Boutros Boutros Ghali declared the US-led invasion of Iraq as an illegal act.,Ans. False.
2,Q.3. Correct and rewrite the statement: Social and economic issues are discussed and dealt with by UN General assembly.,Ans. Social and economic issues are dealt with by many agencies other than UN General assembly and Security Council. Or War and peace and differences between member states are discussed in the UN General Assembly as well as the Security Council.
3,Q.4. Match the following: ‘A’ i. ii. iii. iv.  UN’s most visible public figure Provides loans and grants to the member countries Sets the rules for Global Trade Unmatched Financial Power  ‘B’ a. b. c. d.  World Bank Secretary General ,"Ans. (i) – (c), (ii) – (a), (iii) – (d), (iv) – (b)."
4,Q.5. When and why did ‘League of Nations’ establish?,"Ans. The ‘League of Nations’ was created in 1920, after the First World War to provide a forum for resolving international disputes."
5,Q.6. When was ‘United Nations’ Established? ,"Ans. United Nations was established on 24th October, 1945."
6,Q.7. How many founding states signed UN charter? ,Ans. UN charter was signed by total 51 founding states.
7,Q.8. How many permanent members and non-permanent members are there in Security Council? ,"Ans. In the Security Council, there are five permanent members and ten nonpermanent members."
8,Q.9. Write the names of the permanent members of Security Council of UN.,"Ans. (i) America, (ii) Russia, (iii) Britain, (iv) France and (v) China."
9,Q.10. How many non-permanent members of Security Council of UN are chosen by General Assembly and for how many years? ,Ans. 10 non-permanent member of Security Council of UN serve only for two years at a time.
10,Q.11. How many member states UN has by 2006? ,"Ans. By 2006, the UN had 192 member states."
11,Q.12. How many members at present are there in UN?,"Ans. By 2017, the UN has 193 members."
12,Q.13. Who is the UN’s most visible public figure?,"Ans. The UN’s most visible public figure, and the representative head, is the secretarygeneral."
13,Q.14. Who is the UN’s representative head?  ,Ans. Secretariat-General.
14,Q.15. Who is the present secretary-general of UN? ,Ans. The present secretary-general of UN is Antonio Guterres from Portugal.
15,Q.16. When did India become a part of UN?,Ans. India joined the UN on 30th October 1945.
16,"Q.17. What is the chief objective of UN?  Or Mention any one objective of UN. [CBSE Delhi 2013, (AI) 2014]",Ans.(i) Prevent international conflict. (ii) To facilitate cooperation among states.
17,Q.18. What is the role of international monetary fund?,Ans. Its work is to manage financial system and to produce financial and technical aid on demand.
18,Q.19. How many member nations of IMF are there?,Ans. IMF has 189 member nations.
19,Q.20. Write full form of WHO.,Ans. World Health Organisation.
20,Q.21. Write full name of UNESCO.,"Ans. United Nations Educational, Scientific and Cultural Organisation."
21,Q.22. Write full form of UNICEF.,Ans. United Nations International Children’s Emergency Fund.
22,Q.23. Write full name of UNHCR.,Ans. United Nations High Commissioner for Refugees.
23,Q.24. Write full name of UNHRC.,Ans. United Nations Human Rights Commission.
24,Q.25. When was formal foundation of UN held? ,Ans. Formal foundation of UN was held in 1945.
25,Q.26. Mention any two human rights in political region.,Ans. 1. Freedom to organise a meet or a conference. 2. Freedom of expression.
26,Q.27. Write full form of IMF. How many member states are there? ,Ans. International Monetary Fund. It has 189 members states.
27,Q.28. State one function of WTO.,Ans. It sets the rules for global trade.
28,Q.29. What are the complaints of developing countries against WTO?,Ans. 1. Non-transparent procedure. 2. Being pushed around by big economic powers.
29,Q.30. What is Interdependence?,Ans. Growing connections and links between societies and issues are called Interdependence.
30,Q.31. Mention names of any two NGOs that campaigns for the protection of human rights.,"Ans. 1. Amnesty International, 2. Human Right watch."
31,Q.32. Which chemicals are responsible behind increasing temperature of Earth’s atmosphere?,Ans. The temperature of atmosphere increase due to the spread of chlorofluorocarbon.  
