questions,answers
Complete the sentence: functions as an important bloc in international economic organisations such as WTO.,European Union (EU)
State True or False: Britain’s Margaret Thatcher kept the UK out of the European Market.,True.
"Correct and rewrite the statement: Militarily, the EU’s combined armed forces are the largest in the world.","Militarily, the EU’s combined armed forces are the second largest in the world."
Match the following: ‘A’ 1. Common members of EU and UN Security Council 2. Common European Currency 3. Regional Organisation 4. SEZs  ‘B’ 1. 2. 3. 4.  Euro China Britain and France ,"(i) – (d), (ii) – (a), (iii) – (b), (iv) – (c)."
What is the full form of LOC?,Line of Control.
Under whose leadership did Communist revolution start in 1949?,Mao.
When did China end its solitude?,After starting two-sided relationship in America in 1972. 
When did China become member of World Trade?,In 2001.
Who formed SEZ?,China.
What is the full form of SEZ?,Special Economic Zone.
What is SEZ?,"SEZ is Special Economic Zone. Trade barriers, laws and regulations of these area are different from other parts of the country."
When did China start ‘Open door’ policy?,In 1978.
Who is being credited for initiating the ‘Open door’ policy?,Deng Xiaoping.
When was the organisation for European Economic Community established?,"In 1948, under the influence of Marshall Plan."
How many stars are there in the flag of European Union in total?,There are 12 stars.
What is Marshall Plan?,The extension of America for massive financial help for reviving Europe’s economy came to be known as Marshall Plan.
What was established under the Marshall Plan?,"Under the Marshall Plan, the Organisation for European Economic Cooperation (OEEC) was established in 1948."
When was ‘Council of Europe’ formed?,‘Council of Europe’ was formed in 1949.
When did ‘European Economic Community’ establish?,In 1957.
When was EU formalised? Write the name of its currency. [CBSE (AI) 2012] ,EU was formalised in 1992. ‘Euro’ is the name of its currency.
What was ‘EU’s GDP in 2005?,EU’s GDP was more than US $12 trillion in 2005.
Which two countries joined EU in 2007?,Bulgaria and Romania.
"Who refused to adopt Maastricht policy and European currency, Euro?",Denmark and Sweden.
Which two countries of EU have nuclear weapons?,Britain and France.
How many nuclear weapons does EU have?,EU has 550 nuclear weapons.
Write names of two EU member countries which are permanent members of UN security council. ,France and Britain.
Write the full form of ASEAN.,Association of Southeast Asian Nations.
What is ASEAN?,ASEAN is a political and economic organisation aimed primarily at promoting economic growth and regional stability among its members.
When was ASEAN established?,ASEAN was established in 1967.
Which five countries established ASEAN?,"Indonesia, Malaysia, Philippines, Singapore and Thailand established ASEAN."
Write names of the two established member-countries of ASEAN. ,Indonesia and Malaysia.
With which two ASEAN countries did India sign Free Trade Policy?,India signed Free Trade Policy with Singapore and Thailand. 
How many countries are included in ASEAN at present?,There are 10 members in ASEAN at present.
What is the objective of ASEAN?,"The objective of ASEAN is to accelerate economic growth and by means of economic growth, that social progress and cultural development could be achieved."
What is the objective of ASEAN Economic community?,The objective of ASEAN Economic Community is to create a common market and production base within ASEAN states and to aid social and economic development in the region.
Why was ASEAN established? ,ASEAN was established: • • •  to accelerate the economic growth. for Social progress and cultural development. to promote regional peace and stability. 
"What was proposed by Chinese Prime Minister, Zhou Enlai?","Zhou Enlai, Prime Minister of China proposed the ‘four modernisations’ in the field of agriculture, industry, science and technology and military."
When did China privatise agriculture?,In 1982.
When did China enter in ‘World Trade Organisation’?,China entered WTO in 2001.
What does the logo on the ASEAN flag symbolise?,The ten stalks of paddy represent the ten South-East Asian countries bound together in friendship and solidarity. The Circle represents the unity of ASEAN.
When did discussion of resolving boundary conflicts between China and India start?,From 1981.
Who visited China in 2010?,India’s President Pratibha Devi Singh Patil visited China in 2010.
When did China’s President visit India? Write the name. ,"Present President of China visited India in September, 2014. His name is Xi Jinping."
How much trade occurred between China–India in 2006?,A trade worth 18 Arab dollar was seen between China–India in 2006.
Which is the second largest economy of the world?,Japanese economy is the second largest economy of the world.
Where does Japan stand in terms of population in the world?,Tenth rank.
What is the contribution of Japan in the budget of UN?,20 per cent.  
