questions,answers
Complete the sentence: Globalisation is a ___________ concept.,Multi-dimensional.
State True or False. The consequences of globalisation are confined only to the sphere of politics and economy.,False.
"Correct and rewrite the statement: The World Social Forum (WSF) is a global platform, which brings many professors and intellectuals together.","The World Social Forum (WSF) is a global platform, which brings together a wide coalition composed of human rights activities, environmentalists, labour, youth and women activists together."
Match the following: i. ii. iii. iv.  ‘A’ Free flow of ideas Bird flu Erosion of State Sovereignty Jeans culture  a. b. c. d.  ‘B’ Cultural Globalisation Political Globalisation Worldwide phenomenon Globalisation ,"(i) – (d), (ii) – (c), (iii) – (b), (iv) – (a)."
What kind of concept is globalisation?,Globalisation is a multidimensional concept.
What is the basic element of Globalisation in conceptual form?,"As a concept, basic element of Globalisation is Flow."
List the effect of Globalisation.,"Globalisation has political, economical, social and cultural effect."
Which inventions were responsible for the revolution in communication?,"Invention of the telegraph, the telephone and microchip has revolutionised many parts of world. "
Define Globalisation. ,Globalisation means integration of a country’s economy with the world economy.
Which technique provides base for Nationalism?,Printing (sealing) technique provide base for Nationalism.
What has been possible due to technology?,"The ability of ideas, capital, commodities and people to move more easily from one part of the world to another has been made possible largely by technological advances."
What is Economic Globalisation?,Economic Globalisation is a process which involves greater economic flows among different countries of the world.
What are the negative effects of Globalisation?,Globalisation has promoted the trend of consumerism and capitalism.
What is the political effect of Globalisation?,"In some aspects, globalisation reduce state capacity to protect the interests of poor but in some other aspects, state capacity has received a boost also as a consequence of globalisation as enhanced technology helps states to collect the information of its citizens."
Write one negative effect of Globalisation.,It has reduced the state capacity.
To what works do states limit itself?,State limits itself to perform certain core functions such as the maintenance of law and order and the security of its citizens.
How do developed countries guard their National boundaries?,Developed countries have guarded their borders with Visa policies.
What is the positive effect of globalisation on state?,"The state capacity has received a boost with globalisation. As a consequence of globalisation, with enhanced technologies available, state can collect information about its citizens."
What has been termed as ‘recolonised’ by economists?,Economists call economic globalisation as re-colonisation.
How do moderate support argue in relation to globalisation?,We should face the challenges of globalisation intelligently with full care. 
What is Cultural homogenisation?,"In the name of global culture, imposition of western culture on the rest of the world is called cultural homogenisation."
What is ‘McDonaldisation’?,Imprints of American culture over different cultures of world is called ‘McDonaldisation’.
What is Cultural heterogenisation?,Globalisation leads to each culture becoming more different and distinctive. This phenomenon is called Cultural heterogenisation.
Why are Political right wing critics worried?,"Political right wing critics were concerned regarding cultural, economic and political effects of globalisation."
Why do the political left wing people criticise on the globalisation?,Those on the left argue that contemporary globalisation represents a particular phase of global capitalism that makes the rich richer and the poor poorer.
Name the global platform against globalisation. Or Write full form of WSF,World Social Forum (WSF).
When and where was the First meeting of World Social Forum held?,"The First WSF meeting was held in Porto, Alegre, Brazil in 2001."
Who all gather under WSF to oppose globalisation?,"Human rights activists, environmentalists, labour, youth and women activists oppose globalisation."
Write full form of FDI.,Foreign Direct Investment.
Who has opposed Multinational Corporation in India?,"Trade unions of industrial workforce, people representing farmer interests.  "
