questions,answers
Name any one characteristics of Bombay city.,It is a centre of trade and industry.
Which city had a long history of air pollution ?,Calcutta .
Identify an architect and planner who developed the principle of the Garden City.,Ebenezer Howard.
When was the very first section of the underground railway in the world opened ?,"10 January, 1863."
When did Bombay become the capital of Bombay Presidency ?,1819.
Who wrote the book ‘The Bitter Cry of Outcaste London’ in the 1880s ?,Andrew Mearns. 
Which industry in London did not employ large number of people in the 19th century ?,Railway manufacturing.
Which European power was the first to establish its control over Bombay ?,Portuguese.
Which city of India is called ‘Mayapuri’ or the ‘city of dreams’ ?,Bombay.
Name one factor which changed the form of urbanisation in the modern world.,Industrialization.
Who wrote several volumes on the London labour in the mid of the 19th century ?,Henry Mayhew.
Name the author of the novel ‘DEBGANER MARTYE AAGAMAN’ .,Durgacharan Ray.
Name any one Presidential city during colonial India.,Bombay.
