questions,answers
Correct and rewrite the sentence:The notions of security can be divided under three heads.,False. The notions of security can be divided under two heads: Traditional and Non-traditional.
Match the following:  i. ii. iii. iv.  ‘A’ Anti-ballistic Missile Treaty (1972) Amnesty International New sources of Threat Security  a. b. c. d.  ‘B’ NGO. Freedom from threats. Arms Control. Human Rights. ,"(i) – (c), (ii) – (a), (iii) – (d), (iv) – (b)."
"Fill up: Values related to sovereignty, independence and territorial integrity of a country are known as ___________ values.",Core.
State True or False. Britain lost million dollars due to ‘Mad Cow’ disease in late 1990s.,True.
What do you mean by ‘Security’?  Or Define Security. ,The basic meaning of security implies freedom from threats. Human existence and the life of a country are full of threats. Security is a state where a person feels free from threats. 
What do you mean by ‘Security’?  Or Define Security. ,The basic meaning of security implies freedom from threats. Human existence and the life of a country are full of threats. Security is a state where a person feels free from threats.
The conception of securities is divided into how many groups?,The conception of securities is divided into two groups: 1. Traditional 2. Non-traditional
In which conception of security is military attack considered as dangerous for a country?,In traditional conception.
To what security-policy is related?,To Deterrence.
What is Deterrence?,Security policy is concerned with preventing war called ‘deterrence’.
State two elements of Traditional Security policy.,Two elements of Traditional Security are as follows: 1. Power Balance 2. Alliance building
What are the two notions of non-traditional security?,1. Human Security 2. Global Security
On what alliances are based?,Alliances are based on National interests and can change when national interest changes.
What do you call a government? ,A renowned organisation which deals with internal threats and violence of a country is called a ‘government’.
What is meant by ‘weapon control’?,The act of imposing restrictions on the production of weapons and to get them is termed as ‘weapon control’.
What do you mean by ‘Military alliance’?,An alliance is a coalition of states that coordinate their actions to defend against military attack.
What is most important in traditional conception of security?,"The most important in traditional views of security are disarmament, arms control and confidence building."
What do you mean by ‘disarmament’? [CBSE (AI) 2014],The policy of controlling destructive weapons by reducing their production or by not producing them is called disarmament.
What does disarmament require?,Disarmament requires all states to give up certain kinds of weapons.
What was the effect of Non-proliferation Treaty?,Non-proliferation Treaty did not end atomic wars but decreased the number of countries that could get this.
Non-traditional notions of security is related to what?,Non-traditional notions of security go beyond military threats to include a wide range of threats and danger affecting the conditions of human existence.
Write full form of CWC.,Chemical Weapons Convention.
How many countries signed CWC?,More than 181 countries.
Write full form of ABMT?,Anti Ballistic Missile Treaty.
Write full form of START?,Strategic Arms Reduction Treaty. 
Write full form of BWC.,Biological Weapons Convention.
How many Countries signed BWC?,More than 155 countries.
Anti Ballistic Missile Treaty was signed between whom?,Between America and Soviet Union.
What do you mean by Terrorism?,Terrorism refers to political violence that targets civilians deliberately and indiscriminately. Civilians are targeted for their personal interests.
What do you mean by ‘Social Security Armor’? ,The facilities that provide social security to people are known as ‘Social Security Armor’.
Which are global threats?,"Global warming, international terrorism, AIDS and bird flu are global threats."
Write some new and poorly understood diseases?,"ebola virus, hanta virus and hepatitis C."
Where do two-thirds of infected HIV people belong to?,Africa.
How did madcow and bird flu affect countries?,Britain had lost billions of dollars of income during madcow diseases and bird flu as it had to shut down the supplies of poultry exports from several Asian countries.
What do epidemics demonstrate?,"Epidemics demonstrate the growing inter-dependence of states, making their borders less meaningful than in the past and emphasise the need for international cooperation."
What were the types of threats faced by India?,India has faced traditional and non-traditional threats to its security
When did India first test a nuclear device?,India first tested a nuclear device in 1974. 
Which initiatives were supported by India’s first Prime Minister Jawaharlal Nehru?,"He supported Asian solidarity, decolonisation and disarmament."
Which protocol has given a road map in order to reduce emission of green house gases?,Kyoto Protocol.
Which region of the world would be affected to 50 per cent if sea level rises by 2 metres due to global warming?,Thailand.  
