question,answer,context
Compare photosynthesis with chemosynthesis.,S. No.  Photosynthesis  Chemosynthesis  (i)  Photosynthesis occurs in sunlight.  It occurs day and night both.  (ii)  Light is necessary.  Light is not necessary.  (iii)  Photosynthetic bacteria have bacterio-chlorophyll which help in trapping the solar energy and converting it into chemical energy.  The energy required for synthesis of food is obtained by oxidizing chemical substances found in the surrounding medium. ,"PHOTOSYNTHESIS
 "
Distinguish between autotrophic and heterotrophic bacteria.,S. No. (i)  (ii) (iii)  Autotrophic Bacteria The bacteria synthe-sise their own food.  Heterotrophic Bacteria  They depend on an external sources of energy for synthesis of food. Autotrophic bacteria live on inorganic substrata.  An external source of energy is not required. Heterotrophic Bacteria live on organic substratum Or living host.  The bacteria obtain organic food or organic growth factors from outside sources. ,"Though the bacterial structure is very simple, they are very complex in behaviour. Compared to many other organisms, bacteria as a group show the most extensive metabolic diversity. Some of the bacteria are autotrophic, i.e., they synthesise their own food from inorganic substrates. They may be photosynthetic autotrophic or chemosynthetic autotrophic. The vast majority of bacteria are heterotrophs, i.e., they depend on other organisms or on dead organic matter for food.
 2.1.1 Archaebacteria These bacteria are special since they live in some of the most harsh habitats such as extreme salty areas (halophiles), hot springs (thermoacidophiles) and marshy areas (methanogens). Archaebacteria differ from other bacteria in having a different cell wall structure and this feature is responsible for their survival in extreme conditions. Methanogens are present in the gut of several ruminant animals such as cows and buffaloes and they are responsible for the production of methane (biogas) from the dung of these animals.
 2.1.1 Archaebacteria These bacteria are special since they live in some of the most harsh habitats such as extreme salty areas (halophiles), hot springs (thermoacidophiles) and marshy areas (methanogens). Archaebacteria differ from other bacteria in having a different cell wall structure and this feature is responsible for their survival in extreme conditions. Methanogens are present in the gut of several ruminant animals such as cows and buffaloes and they are responsible for the production of methane (biogas) from the dung of these animals.
 2.1.2 Eubacteria There are thousands of different eubacteria or ‘true bacteria’. They are characterised by the presence of a rigid cell wall, and if motile, a flagellum. The cyanobacteria (also referred to as blue-green algae) have chlorophyll a similar to green plants and are photosynthetic autotrophs (Figure 2.2). The cyanobacteria are unicellular, colonial or filamentous, freshwater/marine or terrestrial algae. The colonies are generally surrounded by gelatinous sheath. They often form blooms in polluted water bodies. Some of these organisms can fix atmospheric nitrogen in specialised cells called heterocysts, e.g., Nostoc and Anabaena. Chemosynthetic autotrophic bacteria oxidise various inorganic substances such as nitrates, nitrites and ammonia and use the released energy for their ATP production. They play a great role in recycling nutrients like nitrogen, phosphorous, iron and sulphur. Heterotrophic bacteria are most abundant in nature. The majority are important decomposers. Many of them have a significant impact on human affairs. They are helpful in making curd from milk, production of antibiotics, fixing nitrogen in legume
 "
Give the important features of Protozoa.,"(i) They are microscopic unicellular organisms with varied forms and shapes. (ii) They lack cell wall. (iii) Locomotion occurs by pseudopodia, flagella and cilia. (iv) They Show heterotrophic mode of nutrition which may be holozoic, parasitic or saprobic.  (v) These reproduces asexually by binary fission.","their prey by putting out pseudopodia (false feet) as in Amoeba. Marine forms have silica shells on their surface. Some of them such as Entamoeba are parasites. Flagellated protozoans: The members of this group are either free-living or parasitic. They have flagella. The parasitic forms cause diaseases such as sleeping sickness. Example: Trypanosoma. Ciliated protozoans: These are aquatic, actively moving organisms because of the presence of thousands of cilia. They have a cavity (gullet) that opens to the outside of the cell surface. The coordinated movement of rows of cilia causes the water laden with food to be steered into the gullet. Example: Paramoecium (Figure 2.4d). Sporozoans: This includes diverse organisms that have an infectious spore-like stage in their life cycle. The most notorious is Plasmodium (malarial parasite) which causes malaria, a disease which has a staggering effect on human population.
 "
Draw a well labelled diagram to show E.M view of a cyanobacterial cell.,, 
What are chemoautotrophic bacteria? How they obtain energy+?,"(i) Diatoms are an important source of food to aquatic animals. (ii) Diatomite is porous and chemically inert, therefore used in filtration of sugar, alcohols and antibiotics. (iii) It is also employed as a cleansing agent in tooth pastes and metal polishes. (iv) It is also employed as insulation material in refrigerators, boilers and furnaces.  ","2.2.1 Chrysophytes This group includes diatoms and golden algae (desmids). They are found in fresh water as well as in marine environments. They are microscopic and float passively in water currents (plankton). Most of them are photosynthetic. In diatoms the cell walls form two thin overlapping shells, which fit together as in a soap box. The walls are embedded with silica and thus the walls are indestructible. Thus, diatoms have left behind large amount of cell wall deposits in their habitat; this accumulation over billions of years is referred to as ‘diatomaceous earth’. Being gritty this soil is used in polishing, filtration of oils and syrups. Diatoms are the chief ‘producers’ in the oceans.
 "
Name two features of Prokaryotes.,"Carolus Linnaeus anciently divided all living organisms into two kingdoms : Plantae and Animalia. The drawbacks of this classification are: (i) First formed animals were neither plants nor animals. (ii) Fungi differ in structure, physiology and reproductive details from plants. (iii) At lower level of organisation there are several instances where the distinction of plant and animal disappears .","All animals belonging to various phyla are assigned to the highest category called Kingdom Animalia in the classification system of animals. The Kingdom Plantae, on the other hand, is distinct, and comprises all plants from various divisions. Henceforth, we will refer to these two groups as animal and plant kingdoms. The taxonomic categories from species to kingdom have been shown in ascending order starting with species in Figure 1.1. These are broad categories. However, taxonomists have also developed sub-categories in this hierarchy to facilitate more sound and scientific placement of various taxa. Look at the hierarchy in Figure 1.1. Can you recall the basis of arrangement? Say, for example, as we go higher from species to kingdom, the number of common characteristics goes on
 "
List out the major groups of protozoans.  (KVS 2017) ,Major groups of protozoans are: (i) Amoeboid protozoa (ii) Flagellated protozoans. (iii) Ciliated protozoans. (iv) Sporozoans.,"2.2.5 Protozoans All protozoans are heterotrophs and live as predators or parasites. They are believed to be primitive relatives of animals. There are four major groups of protozoans. Amoeboid protozoans: These organisms live in fresh water, sea water or moist soil. They move and capture
 "
Give the features of kingdom protista.,"(i) Slime moulds are both plant and animal like. (ii) They are plant like in the production of spores during reproduction and animal like in the mode of nutrition. (iii) Their somatic structures consist of wall-less, multinucleate mobile mass of protoplasm called plasmodium. (iv) They absorb nutrients directly substratum. (v) The reproductive stage consists of sporangia and spores formed after meiosis.","2.2.4 Slime Moulds Slime moulds are saprophytic protists. The body moves along decaying twigs and leaves engulfing organic material. Under suitable conditions, they form an aggregation called plasmodium which may grow and spread over several feet. During unfavourable conditions, the plasmodium differentiates and forms fruiting bodies bearing spores at their tips. The spores possess true walls. They are extremely resistant and survive for many years, even under adverse conditions. The spores are dispersed by air currents.
 "
What is the nature of cell wall in diatoms ?,"(i) In diatoms, the cell walls form two thin overlapping shells which fit together as in a soap box. (ii) Their walls are embedded with silica making it indestructible.","2.2.1 Chrysophytes This group includes diatoms and golden algae (desmids). They are found in fresh water as well as in marine environments. They are microscopic and float passively in water currents (plankton). Most of them are photosynthetic. In diatoms the cell walls form two thin overlapping shells, which fit together as in a soap box. The walls are embedded with silica and thus the walls are indestructible. Thus, diatoms have left behind large amount of cell wall deposits in their habitat; this accumulation over billions of years is referred to as ‘diatomaceous earth’. Being gritty this soil is used in polishing, filtration of oils and syrups. Diatoms are the chief ‘producers’ in the oceans.
 "
Write a short note on reproduction of blue-green algae.,"(i) Blue-green algae multiply asexually by binary fission, fragmentation or by the formation of small segments called hormogonia. (ii) Typical sexual reproduction is absent.","3.1.1 Chlorophyceae The members of chlorophyceae are commonly called green algae. The plant body may be unicellular, colonial or filamentous. They are usually grass green due to the dominance of pigments chlorophyll a and b. The pigments are localised in definite chloroplasts. The chloroplasts may be discoid, plate-like, reticulate, cup-shaped, spiral or ribbon-shaped in different species. Most of the members have one or more storage bodies called pyrenoids located in the chloroplasts. Pyrenoids contain protein besides starch. Some algae may store food in the form of oil droplets. Green algae usually have a rigid cell wall made of an inner layer of cellulose and an outer layer of pectose. Vegetative reproduction usually takes place by fragmentation or by formation of different types of spores. Asexual reproduction is by flagellated zoospores produced in zoosporangia. The sexual reproduction shows considerable variation in the type and formation of sex cells and it may be isogamous, anisogamous or oogamous. Some commonly found green algae are: Chlamydomonas, Volvox, Ulothrix, Spirogyra and Chara (Figure 3.1a).
 "
