question,answer,context
Expand FYM.,Farm Yard Manure.,"MANURE Manure contains large quantities of organic matter and also supplies small quantities of nutrients to the soil. Manure is prepared by the decomposition of animal excreta and plant waste. Manure helps in enriching soil with nutrients and organic matter and increasing soil fertility. The bulk of organic matter in manure helps in improving the soil structure. This involves increasing the water holding capacity in sandy soils. In clayey soils, the large quantities of organic matter help in drainage and in avoiding water logging. In using manure we use biological waste material, which is advantageous in protecting
 our environment from excessive use of fertilizers. Using biological waste material is also a way of recycling farm waste. Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc. is decomposed in pits is known as composting. The compost is rich in organic matter and nutrients. Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse. This is called vermicompost. (ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil. These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
 our environment from excessive use of fertilizers. Using biological waste material is also a way of recycling farm waste. Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc. is decomposed in pits is known as composting. The compost is rich in organic matter and nutrients. Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse. This is called vermicompost. (ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil. These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
 Animal husbandry is the scientific management of animal livestock. It includes various aspects such as feeding, breeding and disease control. Animal-based farming includes cattle, goat, sheep, poultry and fish farming. As the population increases and as living standards increase, the demand for milk, eggs and meat is also going up. Also, the growing awareness of the need for humane treatment of livestock has brought in new limitations in livestock farming. Thus, livestock production also needs to be improved.
 15.2.1 CATTLE
 FARMING
 "
Name the two types of manure on the basis of the kind of biological material involved., Compost and vermicompost.  Green manure.,"MANURE Manure contains large quantities of organic matter and also supplies small quantities of nutrients to the soil. Manure is prepared by the decomposition of animal excreta and plant waste. Manure helps in enriching soil with nutrients and organic matter and increasing soil fertility. The bulk of organic matter in manure helps in improving the soil structure. This involves increasing the water holding capacity in sandy soils. In clayey soils, the large quantities of organic matter help in drainage and in avoiding water logging. In using manure we use biological waste material, which is advantageous in protecting
 our environment from excessive use of fertilizers. Using biological waste material is also a way of recycling farm waste. Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc. is decomposed in pits is known as composting. The compost is rich in organic matter and nutrients. Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse. This is called vermicompost. (ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil. These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
 our environment from excessive use of fertilizers. Using biological waste material is also a way of recycling farm waste. Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc. is decomposed in pits is known as composting. The compost is rich in organic matter and nutrients. Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse. This is called vermicompost. (ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil. These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
 "
What is organic farming ?,"It is a farming system with minimal or no use of chemicals and with maximum input of organic manures, recycled farm wastes and bio-agents with healthy cropping system.","MANURE Manure contains large quantities of organic matter and also supplies small quantities of nutrients to the soil. Manure is prepared by the decomposition of animal excreta and plant waste. Manure helps in enriching soil with nutrients and organic matter and increasing soil fertility. The bulk of organic matter in manure helps in improving the soil structure. This involves increasing the water holding capacity in sandy soils. In clayey soils, the large quantities of organic matter help in drainage and in avoiding water logging. In using manure we use biological waste material, which is advantageous in protecting
 our environment from excessive use of fertilizers. Using biological waste material is also a way of recycling farm waste. Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc. is decomposed in pits is known as composting. The compost is rich in organic matter and nutrients. Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse. This is called vermicompost. (ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil. These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
 Organic farming is a farming system with minimal or no use of chemicals as fertilizers, herbicides, pesticides etc. and with a maximum input of organic manures, recycled farm-wastes (straw and livestock excreta), use of bio-agents such as culture of blue green algae in preparation of biofertilizers, neem leaves or turmeric specifically in grain storage as bio-pesticides, with healthy cropping systems [mixed cropping, inter-cropping and crop rotation as discussed below in 15.1.2.(iii)]. These cropping systems are beneficial in insect, pest and wheat control besides providing nutrients.
 "
Name a bio-pesticide.,Neem.,"n m M N NA
 "
Why do droughts occur ?,Because of scarcity or irregular distribution of rains.,"is low enough, precipitation may occur in the form of snow, sleet or hail. Rainfall patterns are decided by the prevailing wind patterns. In large parts of India, rains are mostly brought by the southwest or north-east monsoons. We have also heard weather reports that say ‘depressions’ in the Bay of Bengal have caused rains in some areas (Figure 14.2).
 "
What is mixed cropping ?,Mixed cropping is growing two or more crops simultaneously on the same piece of land.,"15.1.2 (iii) CROPPING PATTERNS Different ways of growing crops can be used to give maximum benefit. Mixed cropping is growing two or more crops simultaneously on the same piece of land, for example, wheat + gram, or wheat + mustard, or groundnut + sunflower. This reduces risk and gives some insurance against failure of one of the crops. 207
 Inter-cropping is growing two or more crops simultaneously on the same field in a definite pattern (Fig.15.2). A few rows of one crop alternate with a few rows of a second crop, for example, soyabean + maize, or finger millet (bajra) + cowpea (lobia). The crops are selected such that their nutrient requirements are different. This ensures maximum utilisation of the nutrients supplied, and also prevents pests and diseases from spreading to all the plants belonging to one crop in a field. This way, both crops can give better returns.
 Fig. 15.2 : Intercropping
 The growing of different crops on a piece of land in a pre-planned succession is known as crop rotation. Depending upon the duration, crop rotation is done for different crop combinations. The availability of moisture and irrigation facilities decide the choice of the crop to be cultivated after one harvest. If crop rotation is done properly then two or three crops can be grown in a year with good harvests.
 "
What is the main benefit of mixed cropping ?,It reduces risk and gives some insurance against failure of one of the crops.,"15.1.2 (iii) CROPPING PATTERNS Different ways of growing crops can be used to give maximum benefit. Mixed cropping is growing two or more crops simultaneously on the same piece of land, for example, wheat + gram, or wheat + mustard, or groundnut + sunflower. This reduces risk and gives some insurance against failure of one of the crops. 207
 "
What is inter-cropping ?,It is growing two or more crops simultaneously on the same field in a definite pattern. 1 Mark each,"15.1.2 (iii) CROPPING PATTERNS Different ways of growing crops can be used to give maximum benefit. Mixed cropping is growing two or more crops simultaneously on the same piece of land, for example, wheat + gram, or wheat + mustard, or groundnut + sunflower. This reduces risk and gives some insurance against failure of one of the crops. 207
 Inter-cropping is growing two or more crops simultaneously on the same field in a definite pattern (Fig.15.2). A few rows of one crop alternate with a few rows of a second crop, for example, soyabean + maize, or finger millet (bajra) + cowpea (lobia). The crops are selected such that their nutrient requirements are different. This ensures maximum utilisation of the nutrients supplied, and also prevents pests and diseases from spreading to all the plants belonging to one crop in a field. This way, both crops can give better returns.
 Fig. 15.2 : Intercropping
 The growing of different crops on a piece of land in a pre-planned succession is known as crop rotation. Depending upon the duration, crop rotation is done for different crop combinations. The availability of moisture and irrigation facilities decide the choice of the crop to be cultivated after one harvest. If crop rotation is done properly then two or three crops can be grown in a year with good harvests.
 "
What is crop-rotation ?,It is growing different crops on a piece of land in a pre-planned succession.,"Inter-cropping is growing two or more crops simultaneously on the same field in a definite pattern (Fig.15.2). A few rows of one crop alternate with a few rows of a second crop, for example, soyabean + maize, or finger millet (bajra) + cowpea (lobia). The crops are selected such that their nutrient requirements are different. This ensures maximum utilisation of the nutrients supplied, and also prevents pests and diseases from spreading to all the plants belonging to one crop in a field. This way, both crops can give better returns.
 Fig. 15.2 : Intercropping
 The growing of different crops on a piece of land in a pre-planned succession is known as crop rotation. Depending upon the duration, crop rotation is done for different crop combinations. The availability of moisture and irrigation facilities decide the choice of the crop to be cultivated after one harvest. If crop rotation is done properly then two or three crops can be grown in a year with good harvests.
 The growing of different crops on a piece of land in a pre-planned succession is known as crop rotation. Depending upon the duration, crop rotation is done for different crop combinations. The availability of moisture and irrigation facilities decide the choice of the crop to be cultivated after one harvest. If crop rotation is done properly then two or three crops can be grown in a year with good harvests.
 "
Give an example of the crops grown in two-year rotation.,Maize-potato-sugarcane-peas.,"15.1 Improvement in Crop Yields Cereals such as wheat, rice, maize, millets and sorghum provide us carbohydrate for energy requirement. Pulses like gram (chana), pea (matar), black gram (urad), green gram (moong), pigeon pea (arhar), lentil (masoor), provide us with protein. And oil seeds including soyabean, ground nut, sesame, castor, mustard, linseed and sunflower provide us with necessary fats (Fig. 15.1). Vegetables, spices and fruits provide a range of vitamins and minerals in addition to small amounts of proteins, carbohydrates and fats. In addition to these food crops, fodder crops like berseem, oats or sudan grass are raised as food for the livestock.
 the kharif season from the month of June to October, and some of the crops are grown in the winter season, called the rabi season from November to April. Paddy, soyabean, pigeon pea, maize, cotton, green gram and black gram are kharif crops, whereas wheat, gram, peas, mustard, linseed are rabi crops. In India there has been a four times increase in the production of food grains from 1952 to 2010 with only 25% increase in the cultivable land area. How has this increase in production been achieved? If we think of the practices involved in farming, we can see that we can divide it into three stages. The first is the choice of seeds for planting. The second is the nurturing of the crop plants. The third is the protection of the growing and harvested crops from loss. Thus, the major groups of activities for improving crop yields can be classified as: • Crop variety improvement • Crop production improvement • Crop protection management.
 "
How are diseases in plants caused ?,"Diseases in plants are caused by pathogens such as bacteria, fungi and viruses.","Common examples of diseases caused by viruses are the common cold, influenza, dengue fever and AIDS. Diseases like typhoid fever, cholera, tuberculosis and anthrax are caused by bacteria. Many common skin infections are caused by different kinds of fungi. Protozoan microbes cause many familiar diseases, such as malaria and kalaazar. All of us have also come across intestinal worm infections, as well as diseases like elephantiasis caused by diffferent species of worms. Why is it important that we think of these categories of infectious agents? The answer is that these categories are important factors in deciding what kind of treatment to use. Members of each one of these groups – viruses, bacteria, and so on – have many biological characteristics in common. All viruses, for example, live inside host cells, whereas bacteria very rarely do. Viruses, bacteria and fungi multiply very quickly, while worms multiply very slowly in comparison. Taxonomically, all bacteria are closely related to each other than to viruses and vice versa. This means that many important life processes are similar in the bacteria group but are not shared with the virus group. As a result, drugs that block one of these life processes in one member of the group is likely to be effective against many other members of the group. But the same drug will not work against a microbe belonging to a different group. As an example, let us take antibiotics. They commonly block biochemical pathways important for bacteria. Many bacteria, for example, make a cell-wall to protect themselves. The antibiotic penicillin blocks the bacterial processes that build the cellwall. As a result, the growing bacteria become unable to make cell-walls, and die easily. Human cells don’t make a cell-wall anyway, so penicillin cannot have such an effect on us. Penicillin will have this effect on any bacteria that use such processes for making cell-walls. Similarly, many antibiotics work against many species of bacteria rather than simply working against one. 182
 15.1.3 CROP PROTECTION MANAGEMENT Field crops are infested by a large number of weeds, insect pests and diseases. If weeds and pests are not controlled at the appropriate time then they can damage the crops so much that most of the crop is lost. Weeds are unwanted plants in the cultivated field, for example, Xanthium
 (gokhroo), Parthenium (gajar ghas), Cyperinus rotundus (motha). They compete for food, space and light. Weeds take up nutrients and reduce the growth of the crop. Therefore, removal of weeds from cultivated fields during the early stages of crop growth is essential for a good harvest. Generally insect pests attack the plants in three ways: (i) they cut the root, stem and leaf, (ii) they suck the cell sap from various parts of the plant, and (iii) they bore into stem and fruits. They thus affect the health of the crop and reduce yields. Diseases in plants are caused by pathogens such as bacteria, fungi and viruses. These pathogens can be present in and transmitted through the soil, water and air. Weeds, insects and diseases can be controlled by various methods. One of the most commonly used methods is the use of pesticides, which include herbicides, insecticides and fungicides. These chemicals are sprayed on crop plants or used for treating seeds and soil. However, excessive use of these chemicals creates problems, since they can be poisonous to many plant and animal species and cause environmental pollution. Weed control methods also include mechanical removal. Preventive methods such as proper seed bed preparation, timely sowing of crops, intercropping and crop rotation also help in weed control. Some other preventive measures against pests are the use of resistant varieties, and summer ploughing, in which fields are ploughed deep in summers to destroy weeds and pests.
 "
Name the biotic factors responsible for storage losses in agricultural produce.,"Insects, rodents, fungi, mites and bacteria.","Fig. 7.3: Fungi
 "
