question,answer,context
How do the early attempts to classify the chemical elements differ from the modern attempt ? Which of the two is better and why ? Give examples.,"The early attempts to classify elements were made on the basis of atomic masses of the elements. Modern basis is the atomic number. This is better because now it is established that atomic number of an element is the fundamental property. Further there are certain anomalies in Mendeleev’s periodic table such as the position of isotopes and misplacements of certain elements, e.g. Argon is placed (Atomic mass - 40, atomic number = 18) before potassium in Mendeleev’s periodic table (Atomic mass = 39, At. no = 19).","The main credit for classifying elements goes to Dmitri Ivanovich Mendeléev, a Russian chemist. He was the most important contributor to the early development of a Periodic Table of elements wherein the elements were arranged on the basis of their fundamental property, the atomic mass, and also on the similarity of chemical properties. Dmitri lvanovich Mendeléev (1834-1907) Dmitri lvanovich Mendeléev was born in Tobolsk in Western Siberia, Russia on 8 February 1834. After his early education, Mendeléev could join a university only due to the efforts of his mother. Dedicating his investigations to his mother he wrote, “She instructed with example, corrected with love and travelled with me to places spending her last resources and strength. She knew that with the aid of science without violence, with love but firmness, all superstitions, untruth and errors can be removed.” The arrangement of elements he proposed is called Mendeléev’s Periodic Table. The Periodic Table proved to be the unifying principle in chemistry. It was the motivation for the discovery of some new elements. When Mendeléev started his work, 63 elements were known. He examined the relationship between the atomic masses of the elements and their physical and chemical properties. Among chemical properties, Mendeléev concentrated on the compounds formed by elements with oxygen and hydrogen. He selected hydrogen and oxygen as they are very reactive and formed compounds with most elements. The formulae of the hydrides and oxides formed by an element were treated as one of the basic properties of an element for its classification. He then took 63 cards and on each card he wrote down the properties of one element. He sorted out the elements with similar properties and pinned the cards together on a wall. He observed that most of the elements got a place in a Periodic Table and were arranged in the order of their increasing atomic masses. It was also observed that there occurs a periodic recurrence of elements with similar physical and chemical properties. On this basis, Mendeléev formulated a Periodic Law, which states that ‘the properties of elements are the periodic function of their atomic masses’. Mendeléev’s Periodic Table contains vertical columns called ‘groups’ and horizontal rows called ‘periods’ (Table 5.4).
 "
What are metalloids ? How many electrons can be present in the valency shell of their atoms ? In what part of the periodic table these are located ? What type of oxide are formed by these elements ?,"Metalloids are elements which resemble both metals and non-metals. The valency shell of metalloids contain 3, 4, 5, 6 elements starting from periods 2 to 5 respectively. They are found on the right side of the table in the zig-zag column, e.g., boron, silicon, germanium, arsenic etc. They form amphoteric oxides.","As we can see, the metals like Na and Mg are towards the left-hand side of the Periodic Table while the non-metals like sulphur and chlorine are found on the right-hand side. In the middle, we have silicon, which is classified as a semi-metal or metalloid because it exhibits some properties of both metals and non-metals. In the Modern Periodic Table, a zig-zag line separates metals from non-metals. The borderline elements – boron, silicon, germanium, arsenic, antimony, tellurium and polonium – are intermediate in properties and are called metalloids or semi-metals. As you have seen in Chapter 3, metals tend to lose electrons while forming bonds, that is, they are electropositive in nature.
 "
What is electronegativity ? How it is different from electron affinity ?,Though both electronegativity and electron affinity refer to the attraction of electron but are used in different context. Electronegativity refers to the attraction of bonding electron or shared pair of electron whereas electron affinity refers to the attraction of electron by an isolated gaseous atoms. filled from group 1 to group 18 and the shell does not change.,"electrons is decreasing because the outermost electrons are farther away from the nucleus. Therefore, these can be lost easily. Hence metallic character decreases across a period and increases down a group. Non-metals, on the other hand, are electronegative. They tend to form bonds by gaining electrons. Let us learn about the variation of this property.
 Activity 5.11 n n
 How would the tendency to gain electrons change as you go from left to right across a period? How would the tendency to gain electrons change as you go down a group?
 "
What is the basic difference between a group and a period in terms of electronic configuration ?,"In a group, though the number of shells increases as we move downward, but the number of electrons in the outermost shell remains the same. In a period, as we move from left to right, the outermost shell or valence shell gets progressively","You will find that these elements of second period do not have the same number of valence electrons, but they contain the same number of shells. You also observe that the number of valence shell electrons increases by one unit, as the atomic number increases by one unit on moving from left to right in a period. Or we can say that atoms of different elements with the same number of occupied shells are placed in the same period. Na, Mg, Al, Si, P, S, Cl and Ar belong to the third period of the Modern Periodic Table, since the electrons in the atoms of these elements are filled in K, L and M shells. Write the electronic configuration of these elements and confirm the above statement. Each period marks a new electronic shell getting filled. 87
 How do you think the tendency to lose electrons changes in a group? How will this tendency change in a period?
 As the effective nuclear charge acting on the valence shell electrons increases across a period, the tendency to lose electrons will decrease. Down the group, the effective nuclear charge experienced by valence
 "
"An element ‘X’ is liquid, non-metallic. Can you predict its position in the periodic table ?","As the element ‘X’ is non-metallic, it may be belonging to group 17. In group 17, first two elements are gases. Metallic character of elements (non-metals) increases on moving down the group. Therefore, the element ‘X’ may be located in group 17 and 3rd or 4th period of the periodic table.","Examine elements of the third period and classify them as metals and non-metals. On which side of the Periodic Table do you find the metals? On which side of the Periodic Table do you find the non-metals?
 As we can see, the metals like Na and Mg are towards the left-hand side of the Periodic Table while the non-metals like sulphur and chlorine are found on the right-hand side. In the middle, we have silicon, which is classified as a semi-metal or metalloid because it exhibits some properties of both metals and non-metals. In the Modern Periodic Table, a zig-zag line separates metals from non-metals. The borderline elements – boron, silicon, germanium, arsenic, antimony, tellurium and polonium – are intermediate in properties and are called metalloids or semi-metals. As you have seen in Chapter 3, metals tend to lose electrons while forming bonds, that is, they are electropositive in nature.
 As the trends in the electronegativity show, non-metals are found on the right-hand side of the Periodic Table towards the top. These trends also help us to predict the nature of oxides formed by the elements because it is known to you that the oxides of metals are basic and that of non-metals are acidic in general.
 "
"Given below are the melting points and atomic radii of three elements X, Y and Z of the periodic table having ‘n’ electrons in the outermost shells of their atoms — Melting point (°C) Atomic radii (A°) State four inference that can be drawn about the elements on the basis of the above data.","(i) Since each element contains the same number of valence electrons, n in the outermost shells of their atoms, therefore X, Y and Z, belong to the same group. (ii) The atomic radii increase from X to Z so metallic character increases from X towards Z. (iii) X, Y and Z have melting points above 25°C (room temperature). Therefore X, Y and Z are solid at room temperature. (iv) The ionization potential decreases from X to Z because they belong to the same group in the descending order.","6. The position of three elements A, B and C in the Periodic Table are shown below – Group 16 Group 17 A B C (a) State whether A is a metal or non-metal. (b) State whether C is more reactive or less reactive than A. (c) Will C be larger or smaller in size than B? (d) Which type of ion, cation or anion, will be formed by element A? 7. Nitrogen (atomic number 7) and phosphorus (atomic number 15) belong to group 15 of the Periodic Table. Write the electronic configuration of these two elements. Which of these will be more electronegative? Why? 8. How does the electronic configuration of an atom relate to its position in the Modern Periodic Table? 9. In the Modern Periodic Table, calcium (atomic number 20) is surrounded by elements with atomic numbers 12, 19, 21 and 38. Which of these have physical and chemical properties resembling calcium? 10. Compare and contrast the arrangement of elements in Mendeléev’s Periodic Table and the Modern Periodic Table.
 "
Atomic number of a few elements are given below (a) Identify the elements (b) Identify the Group number of these elements in the Periodic Table (c) Identify the Periods of these elements in the Periodic Table (d) What would be the electronic configuration for each of these elements ? (e) Determine the valency of these elements. ,"(a) (i) At. no. 10 → Neon (ii) At no. 20 → Calcium (iii) At no. 7 → Nitrogen (iv) At no. 14 → Silicon (b) (i) Group of Neon → 18th Group (ii) Calcium → 2nd Group (iii) Nitrogen → 15th Group (iv) Silicon → 14th Group (c) Period number (i) Neon — 2nd Period (ii) Calcium — 4th Period (iii) Nitrogen — 2nd Period (iv) Silicon — 3rd Period (d) Neon — 2, 8 Calcium — 2, 8, 8, 2 Nitrogen — 2, 5 Silicon — 2, 8, 4 (e) Valency Neon — Zero Calcium — 2 Nitrogen — 3 Silicon — 4.","If you look at the Modern Periodic Table (5.6), you will find that the elements Li, Be, B, C, N, O, F, and Ne are present in the second period. Write down their electronic configurations. Do these elements also contain the same number of valence electrons? Do they contain the same number of shells?
 You will find that these elements of second period do not have the same number of valence electrons, but they contain the same number of shells. You also observe that the number of valence shell electrons increases by one unit, as the atomic number increases by one unit on moving from left to right in a period. Or we can say that atoms of different elements with the same number of occupied shells are placed in the same period. Na, Mg, Al, Si, P, S, Cl and Ar belong to the third period of the Modern Periodic Table, since the electrons in the atoms of these elements are filled in K, L and M shells. Write the electronic configuration of these elements and confirm the above statement. Each period marks a new electronic shell getting filled. 87
 You will find that these elements of second period do not have the same number of valence electrons, but they contain the same number of shells. You also observe that the number of valence shell electrons increases by one unit, as the atomic number increases by one unit on moving from left to right in a period. Or we can say that atoms of different elements with the same number of occupied shells are placed in the same period. Na, Mg, Al, Si, P, S, Cl and Ar belong to the third period of the Modern Periodic Table, since the electrons in the atoms of these elements are filled in K, L and M shells. Write the electronic configuration of these elements and confirm the above statement. Each period marks a new electronic shell getting filled. 87
 "
"What are the properties of carbon that lead to the formation of fullerenes. Name two other compounds which are allotropes. In which of these compounds, all the four valencies are satisfied ? 3","Tetravalency and catenation are the properties of carbon that gives the formation of fullerenes. Because of these properties, carbon forms two allotropes-diamond and graphite, out of which, all the four valencies of carbon are satisfied in diamond.","These two different structures result in diamond and graphite having very different physical properties even though their chemical properties are the same. Diamond is the hardest substance known while graphite is smooth and slippery. Graphite is also a very good conductor of electricity unlike other non-metals that you studied in the previous Chapter. Diamonds can be synthesised by subjecting pure carbon to very high pressure and temperature. These synthetic diamonds are small but are otherwise indistinguishable from natural diamonds. Fullerenes form another class of carbon allotropes. The first one to be identified was C-60 which has carbon atoms arranged in the shape of a football. Since this looked like the geodesic dome designed by the US architect Buckminster Fuller, the molecule was named fullerene.
 "
Give reasons : (i) Why is pure ethanoic acid known as glacial acetic acid ? (ii) Why is ethanol used as antifreeze ? (iii) Why is ethanol mixed with methanol known as denatured alcohol ? (iv) Why is oxyacetylene flame used for welding purposes ? (v) What is gasol ?,"(i) Pure ethanoic acid has a low freezing point. It freezes and looks like glaciers. (ii) Ethanol mixed with water freezes at temperatures lower than water. Thus a mixture of water and ethanol is used in radiators of cars in cold countries. (iii) When methanol is mixed with ethanol, the latter becomes undrinkable. (iv) Acetylene mixed with oxygen burns giving large amount of heat which is used for welding purposes. (v) Gasol is a mixture of petrol and alcohol.","Ice Water Alcohol Kerosene
 "
"Two compounds ‘A’ and ‘B’ have the same molecular formula C3H6O2. One of them reacts with sodium metal and NaHCO3 to liberate H2 gas and a gas ‘C’, respectively. ‘C’ turns lime water milky. The other compound does not react with either Na metal or NaHCO3 but undergoes saponification to give sodium salt of a carboxylic acid and wood spirit, 'D’. Identify A, B, C and D.","Two possible compounds with molecular formula C3H6O2 are propanoic acid (CH3CH2COOH) and methyl acetate (CH3COOCH3). Propanoic acid reacts with Na metal to give sodium propanoate and H2 gas and with NaHCO3, it gives CO2 gas which turns lime water milky. Methyl acetate on saponification gives sodium acetate and wood spirit i.e., methanol. Thus, A is propanoic acid B is methyl acetate C is carbon dioxide D is methanol.","E X E R C I S E S 1. Ethane, with the molecular formula C2H6 has (a) 6 covalent bonds. (b) 7 covalent bonds. (c) 8 covalent bonds. (d) 9 covalent bonds. 2. Butanone is a four-carbon compound with the functional group (a) carboxylic acid. (b) aldehyde. (c) ketone. (d) alcohol. 3. While cooking, if the bottom of the vessel is getting blackened on the outside, it means that (a) the food is not cooked completely. (b) the fuel is not burning completely. (c) the fuel is wet. (d) the fuel is burning completely.
 "
