question,answer,context_1,context_2,context_3,context_4,context_5
Q. 1. The very first section of the underground railways in the world was opened in which city ?,Ans. London.,"Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","a
","Fig. 6 – A fitting shop at a railway works in England, The Illustrated London News, 1849. In the fitting shop new locomotive engines were completed and old ones repaired.
","IA POSEN
","Fig. 2 – Two Magicians, published in Inland Printers, 26 January 1901.
"
Q. 2. A variety of steps were taken to clean up which city ?,Ans. London.,"Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","a
","Fig. 6 – A fitting shop at a railway works in England, The Illustrated London News, 1849. In the fitting shop new locomotive engines were completed and old ones repaired.
","IA POSEN
","Fig. 2 – Two Magicians, published in Inland Printers, 26 January 1901.
"
Q. 3. When was Rent Control introduced in Britain ?,Ans. During the First World War.,"Fig. 20 – Workers in a munition factory during the First World War. Production of armaments increased rapidly to meet war demands.
","3.1 Wartime Transformations The First World War, as you know, was fought between two power blocs. On the one side were the Allies – Britain, France and Russia (later joined by the US); and on the opposite side were the Central Powers – Germany, Austria-Hungary and Ottoman Turkey. When the war began in August 1914, many governments thought it would be over by Christmas. It lasted more than four years.
","3 The Inter-war Economy The First World War (1914-18) was mainly fought in Europe. But its impact was felt around the world. Notably for our concerns in this chapter, it plunged the first half of the twentieth century into a crisis that took over three decades to overcome. During this period the world experienced widespread economic and political instability, and another catastrophic war.
","Yet, till the First World War, industrial growth was slow. The war created a dramatically new situation. With British mills busy with war production to meet the needs of the army, Manchester imports into India declined. Suddenly, Indian mills had a vast home market to supply. As the war prolonged, Indian factories were called upon to supply war needs: jute bags, cloth for army uniforms, tents and leather boots, horse and mule saddles and a host of other items. New factories were set up and old
","The First World War was a war like no other before. The fighting involved the world’s leading industrial nations which now harnessed the vast powers of modern industry to inflict the greatest possible destruction on their enemies. This war was thus the first modern industrial war. It saw the use of machine guns, tanks, aircraft, chemical weapons, etc. on a massive scale. These were all increasingly products of modern largescale industry. To fight the war, millions of soldiers had to be recruited from around the world and moved to the frontlines on large ships and trains. The scale of death and destruction – 9 million dead and 20 million injured – was unthinkable before the industrial age, without the use of industrial arms. Most of the killed and maimed were men of working age. These deaths and injuries reduced the able-bodied workforce in Europe. With fewer numbers within the family, household incomes declined after the war. During the war, industries were restructured to produce war-related goods. Entire societies were also reorganised for war – as men went to battle, women stepped in to undertake jobs that earlier only men were expected to do.
"
Q. 4. Which movement demanded the ‘Right to Vote’ for adult males in Britain during the 18th Century ?,Ans. Chartism Movement.,"Fig. 1 – 6 April 1919. Mass processions on the streets became a common feature during the national movement.
","Nationalism, aligned with imperialism, led Europe to disaster in 1914. But meanwhile, many countries in the world which had been colonised by the European powers in the nineteenth century began to oppose imperial domination. The anti-imperial movements that developed everywhere were nationalist, in the sense that they all struggled to form independent nation-states, and were inspired by a sense of collective national unity, forged in confrontation with imperialism. European ideas of nationalism were nowhere replicated, for people everywhere developed their own specific variety of nationalism. But the idea that societies should be organised into ‘nation-states’ came to be accepted as natural and universal.
","3.2 How Participants saw the Movement
","New words Absolutist – Literally, a government or system of rule that has no restraints on the power exercised. In history, the term refers to a for m of monarchical government that was centralised, militarised and repressive Utopian – A vision of a society that is so ideal that it is unlikely to actually exist
","The issue of extending political rights to women was a controversial one within the liberal movement, in which large numbers of women had participated actively over the years. Women had formed their own political associations, founded newspapers and taken part in political meetings and demonstrations. Despite this they were denied New words Feminist – Awareness of women’s rights and interests based on the belief of the social, economic and political equality of the genders
"
Q. 5. Name any one film made by Dada Saheb Phalke.,Ans. Raja Harishchandra.,"Fig. 17 – Raja Ritudhwaj rescuing Princess Madalsa from the captivity of demons, print by Ravi Varma. Raja Ravi Varma produced innumerable mythological paintings that were printed at the Ravi Varma Press.
","Fig. 22 – Lakshminath Bezbaruah (1868–1938)
","Fig. 16 – Jamsetjee Jeejeebhoy. Jeejeebhoy was the son of a Parsi weaver. Like many others of his time, he was involved in the China trade and shipping. He owned a large fleet of ships, but competition from English and American shippers forced him to sell his ships by the 1850s.
","Fig. 26(a) – Manchester labels, early twentieth century. Images of numerous Indian gods and goddesses – Kartika, Lakshmi, Saraswati – are shown in imported cloth labels approving the quality of the product being marketed. Fig. 26(b) – Maharaja Ranjit Singh on a Manchester label. Historic figures are used to create respect for the product. Fig. 26(a)
","Fig. 14a – Bharat Mata. This figure of Bharat Mata is a contrast to the one painted by Abanindranath Tagore. Here she is shown with a trishul, standing beside a lion and an elephant – both symbols of power and authority.
"
Q. 6. Name any two Presidencies in British India.,"Ans. Bombay, Bengal and Madras.","Bombay
","Madras
","Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","Fig. 15 – Bombay harbour, a late-eighteenth-century drawing. Bombay and Calcutta grew as trading ports from the 1780s. This marked the decline of the old trading order and the growth of the colonial economy.
","Madras Goa Indian Ocean
"
Q. 7. When was ‘City of Bombay Improvement Trust’ established ?,Ans. 1898.,"Native Opinion, 3 April 1870.
","Fig. 1 – Dawn of the Century, published by E.T. Paull Music Co., New York, England, 1900.
","1858
","Fig. 2 – Two Magicians, published in Inland Printers, 26 January 1901.
","Fig. 13 — Caricature of Otto von Bismarck in the German reichstag (parliament), from Figaro, Vienna, 5 March 1870.
"
Q. 8. The very first section of the underground railways in the world was opened between which two places ?,Ans. Paddington and Farrington street in London.,"Fig. 17 – East India Company House, London. This was the nerve centre of the worldwide operations of the East India Company.
","Source A Will Thorne is one of those who went in search of seasonal work, loading bricks and doing odd jobs. He describes how job-seekers walked to London in search of work: ‘I had always wanted to go to London, and my desire … was stimulated by letters from an old workmate … who was now working at the Old Kent Road Gas Works … I finally decided to go … in November, 1881. With two friends I started out to walk the journey, filled with the hope that we would be able to obtain employment, when we get there, with the kind assistance of my friend … we had little money when we started, not enough to pay for our food and lodgings each night until we arrived in London. Some days we walked as much as twenty miles, and other days less. Our money was gone at the end of the third day … For two nights we slept out – once under a haystack, and once in an old farm shed … On arrival in London we tried to find … my friend … but … were unsuccessful. Our money was gone, so there was nothing for us to do but to walk around until late at night, and then try to find some place to sleep. We found an old building and slept in it that night. The next day, Sunday, late in the afternoon, we got to the Old Kent Gas Works, and applied for work. To my great surprise, the man we had been looking for was working at the time. He spoke to the foreman and I was given a job.’ Quoted in Raphael Samuel, ‘Comers and Goers’, in H.J. Dyos and Michael Wolff, eds, The Victorian City: Images and Realities, 1973.
","Bandar Abbas Muscat
","Fig. 6 – A fitting shop at a railway works in England, The Illustrated London News, 1849. In the fitting shop new locomotive engines were completed and old ones repaired.
","GREAT BRITAIN WALES
"
Q. 9. Who was the architect and planner of London ?,Ans. Ebenezer Howard.,"Thomas Wood, a Yorkshire mechanic, narrated how he would rent old newspapers and read them by firelight in the evenings as he could not afford candles. Autobiographies of poor people narrated their struggles to read against grim obstacles: the twentieth-century Russian revolutionary author Maxim Gorky’s My Childhood and My University provide glimpses of such struggles.
","Stanley was a journalist and explorer sent by the New York Herald to find Livingston, a missionary and explorer who had been in Africa for several years. Like other European and American explorers of the time, Stanley went with arms, mobilised local hunters, warriors and labourers to help him, fought with local tribes, investigated African terrains, and mapped different regions. These explorations helped the conquest of Africa. Geographical explorations were not driven by an innocent search for scientific information. They were directly linked to imperial projects. Fig. 11 – Sir Henry Morton Stanley and his retinue in Central Africa, Illustrated London News, 1871.
","Source F Bhai Bhosle, a trade unionist of Bombay, recollected his childhood in the 1930s and 1940s:
","FRENCH EQUATORIAL AFRICA ANGLOEGYPTIAN SUDAN
","Box 2 Sir Henry Morton Stanley in Central Africa
"
Q. 10. How did the East India Company get possession of Bombay ?,Ans. The Portuguese government gifted it to Britain’s king Charles-II on the occasion of his marriage. 1,"PORTUGUESE EAST AFRICA
","Portuguese as well as the local traders competed in the market to secure woven cloth. So the weaver and supply merchants could bargain and try selling the produce to the best buyer. In their letters back to London, Company officials continuously complained of difficulties of supply and the high prices. However, once the East India Company established political power, it could assert a monopoly right to trade. It proceeded to develop a system of management and control that would eliminate competition, control costs, and ensure regular supplies of cotton and silk goods. This it did through a series of steps. First: the Company tried to eliminate the existing traders and brokers connected with the cloth trade, and establish a more direct control over the weaver. It appointed a paid servant called the gomastha to supervise weavers, collect supplies, and examine the quality of cloth.
","Until well into the eighteenth century, China and India were among the world’s richest countries. They were also pre-eminent in Asian trade. However, from the fifteenth century, China is said to have restricted overseas contacts and retreated into isolation. China’s reduced role and the rising importance of the Americas gradually moved the centre of world trade westwards. Europe now emerged as the centre of world trade.
","many decades. And, as you have read last year, opium shipments to China grew rapidly from the 1820s to become for a while India’s single largest export. Britain grew opium in India and exported it to China and, with the money earned through this sale, it financed its tea and other imports from China. Over the nineteenth century, British manufactures flooded the Indian market. Food grain and raw material exports from India to Britain and the rest of the world increased. But the value of British exports to India was much higher than the value of British imports from India. Thus Britain had a ‘trade surplus’ with India. Britain used this surplus to balance its trade deficits with other countries – that is, with countries from which Britain was importing more than it was selling to. This is how a multilateral settlement system works – it allows one country’s deficit with another country to be settled by its surplus with a third country. By helping Britain balance its deficits, India played a crucial role in the late-nineteenth-century world economy.
","BELGIAN BRITISH FRENCH GERMAN ITALIAN PORTUGUESE SPANISH BRITISH DOMINION INDEPENDENT STATE
"
