questions,answers
Who were ‘liberals’?,Liberals were a group of people who wanted a nation which tolerates all religions. They also opposed the uncontrolled power of dynastic rulers.
Who were called ‘radicals’?,"Radicals were the ones, who wanted a nation in which government was based on the majority of a country’s population. They opposed the privileges of great landowners and wealthy factory owners."
What were the ideals of ‘Conservatives’?,They were opposed to radicals and liberals. They believed that the past had to be respected and change had to be brought about through a slow process.
Give one characteristic of a socialist.,Socialists are against private property and saw it as the root of all social ills of the time.
Who was Robert Owen?,Robert Owen was a leading English manufacturer who sought to build a cooperative community called New Harmony in Indiana (USA).
Name two famous socialists who introduced a communist system.,Karl Marx and Friedrich Engels.
What was a communist society according to Karl Marx?,"Marx believed that to free themselves from capitalist exploitation, workers had to construct a radically socialist society where all property was socially controlled."
Name the socialist international body which coordinated their efforts.,The Second International
What is ‘Russian Revolution’? ,The fall of monarchy in February 1917 and the events of October are normally called the Russian Revolution.
Which territories were included in Russian Empire?,"Russian Empire included current day Finland, Latvia, Lithuania, Estonia, parts of Poland, Ukraine and Belarus. It also included today’s central Asian states as Georgia, Armenia and Azerbaijan."
Name the socialist party formed in Russia in 1898 on Marx’s ideas.,The Russian Social Democratic Workers Party.
What role was played by ‘The Socialist Revolutionary Party’ in 1900 Russia?,This party struggled for peasants’ rights and demanded that land belonging to nobles be transferred to peasants.
What was the demand of workers of St. Petersberg in 1904?,"The workers went on a strike demanding a reduction in the working day to eight hours, an increase in wages and improvement in working conditions."
Which incident was the immediate cause of 1905 Revolution in Russia?,"‘Bloody Sunday’ was the incident, where over 100 workers were killed and above 300 wounded on a Sunday."
What was a ‘Duma’?,‘Duma’ was a Parliament of elected consultative formed with the permission of Tsar after the success of 1905 Russian Revolution.
Name the leader who led procession of workers to winter palace.,Father Gapon.
Name the countries that formed allied Powers in World War I.,"France, Britain and Russia. Later, Italy and Romania too joined them."
Which countries formed central Powers bloc during World War I?,"Germany, Austria, Hungary and Turkey."
What was ‘Soviet’? ,‘Soviet’ was a council of soldiers and striking workers of Russia.
What was ‘Petrograd Soviet’?,"When Soviet met in the same building where ‘Duma’ met, it was named as ‘Petrograd Soviet’."
What was the result of February Revolution of 1917 in Russia?,It brought down monarchy and Duma leaders and soviet leaders formed a provisional government.
What was Lenin’s ‘April Theses’?,"The three demands of Lenin were called ‘April Thesis’. They were to be closed, land to the tillers and banks to be nationalised."
What new name was given to ‘Bolshevik Party’?,‘The Communist Party’
Who was the Prime Minister of Russia when October Revolution began?,Kerenskii.
Which secret police was formed to punish the one who criticised Bolsheviks?,The secret police called ‘Cheka’ first and later OGPU and NKVD.
What was Centralised Planning?,A process of centralised planning was introduced by Bolsheviks. In it the officials assessed how the economy could work and set targets for a five year period called ‘Five Year Plans’.
Who was Stalin?,Stalin was a close associate of Lenin and came to power in Russia after Lenin’s death. He introduced firm emergency measures.
Who were ‘kulaks’?,It was the name given to the well-to-do peasants of Russia.
Why Kulaks needed to be eliminated?,"To develop modern forms and run them along industrial lives with machinery, it was necessary to eliminate Kulaks, take away land from peasants and establish state controlled large farms. "
What does ‘Kolkhoz’ mean?,These were collective farms. Peasants worked on this land and the profit is shared amongst them. Those who resisted collectivisation were severely punished.
What is Comintern?,"It is Communist International, a union of pro—Bolshevik Socialist parties.  "
