questions,answers
Who was Hitler’s propoganda Minister?,Goebbels.
How Hitler’s end came?,"Hitler, his Propoganda Minister Goebbels and his entire family committed suicide collectively in his Berlin bunker on 30 April, 1945."
What was Nazism?,"It was a system introduced by Hitler, which had a structure of ideas about the world and politics."
Which tribunal was set up after world war II to punish the Nazis for their crime against humanity?,International Military Tribunal
What was ‘Genocidal war’?,It was a war which resulted in the mass murder of selected groups of innocent civilians of Europe.
Name the peace treaty signed after World War–I.,It was called ‘Treaty of Versailles’.
Who were called ‘November Criminals’?,"Those who supported the Weimer Republic mainly Socialists, Catholics and Democrats were mockingly called the ‘November Criminals’."
What happened when Germany refused to pay war reparation to France?,"In 1923, Germany refused to pay. The French occupied its leading industrial area, Ruhr, to claim their coal."
Why the value of German currency ‘mark’ fell?,"When French occupied Ruhr area, Germany retaliated with passive resistance and printed paper currency recklessly. With too much printed money in circulation, the value of the German mark fell."
What does ‘Hyperinflation’ mean? ,It’s a situation when prices rise phenomenally high.
What was ‘Article 48’ of Weimer Republic?,"It gave the President the powers to impose emergency, suspend civil rights and rule by decree."
Who was Hitler?,"Hitler was born in 1889 in Austria, spent his youth in poverty. When the World War I broke out, he enrolled for army, acted as a messenger in the front, became a corporal and earned medals for bravery."
"Under which situation, Nazi Propaganda was appreciated?","After 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda won people’s hearts."
What promise was made by Hitler to the people as a leader of Germany?,"He promised to build a strong nation, undo the injustices of the Treaty of Versailles and restore the dignity of the German people."
How Nazis projected Hitler?,"Nazi propoganda skilfully projected Hitler as a messiah, a saviour, as someone who had arrived to relieve people from their distress."
How Hitler started dismantling democratic rule in Germany?,A mysterious fire that broke out in the German Parliament building in February facilitated the move of Hitler.
What did ‘The fire Decree’ imply?,"Fire Decree of 28th February, 1933 indefinitely suspened civic rights like freedom of speech, press and assembly that had been guaranteed by the Weimer Constitution."
What was ‘Concentration Camp’?,"It was a camp where people were isolated and detained without due process of law. Typically, it was surrounded by electrified barbed wire fences."
What was ‘Enabling Act’?,This Act established dictatorship in Germany. It gave Hitler all the powers to sideline Parliament and rule by decree. All political parties and trade unions were banned except for the Nazi Party and its affiliates. 
Which Security forces were created by Nazis to control order in society?,"Besides Regular police in green uniform, there was Gestapo (Secret State Police) the SS (the protection squads), Criminal Police and Security Service."
Which famous economist was appointed by Hitler for economic recovery of Germany?,"Economist Hjalmar Schacht was appointed, who aimed at full production and full employment through a state funded work-creation programme."
What was the immediate cause of World War II?,"In September 1939, Germany invaded Poland. This became the immediate cause of World War II."
Among which three countries ‘Tripartite Pact’ was signed?,"In September 1940, a tripartite pact was signed between Germany, Italy and Japan."
When did US enter the World War II?,"When Japan extended its support to Hitler and bombed the US base at Pearl Harbor, the US entered into World War II."
Who were considered ‘undesirable’ by Hitler?,"Jews, Gypsies and blacks living in Nazi Germany were considered as inferior races, who threatened the biological purity of ‘Superior Aryan’ race, and were called undesirable by Hitler."
Why Jews were the worst sufferers in Nazi Germany?,Nazis felt that Jews were killers of Christ and were also considered killers of US usurers (Moneylenders).
How schools in Nazi Germany were ‘cleansed’ and ‘purified’?,Teachers who were Jews or seen as ‘politically unreliable’ were dismissed. Children were segregated as Germans and Jews could not sit together or play.
What was ‘Jungvolk’?,These were Nazi youth groups for children below 14 years of age.
What were the ‘gas chambers’ called? ,Gas chambers were called ‘disinfection areas’ and looked like bathrooms equipped with fake shower heads.
Which was the most in famous film in which orthodox Jews were stereotyped and marked?,The film was ‘The Eternal Jew’.
Who wrote the book ‘Third Reich of Dreams’?,It was written by Charlotte Beradt.
What was ‘Holocaust’?,The Jews wanted the world to remember the atrocities and sufferings they had endured during the Nazi killing operations.
How do we come to know about Holocaust today?,"Memory of Holocaust is in memoirs, fiction, documentaries, poetry, memorials and museums in many parts of the world today.  "
