questions,answers
How can you say that India is a vast country with varied landforms?,"Our country has practically all major physical features of the earth, i.e., mountains, plains, deserts, plateaus and islands."
Which factors modified the relief features of India?,"Besides geological formations, a number of processes such as weathering, erosion and deposition have created and modified the relief to its present form."
What is the ‘Theory of plate Tectonics’?,"According to this theory, the crust of the earth (upper part) has been formed out of seven major and some minor plates. The movement of the plates results in the building up of stresses within the plates and the continental rocks above, leading to folding, faulting and volcanic activity."
What was Gondwana land?,"The Gondwana land included India, Australia, South Africa, South America and Antarctica as one single landmass."
What was the result of collision of the Indo-Australian plate with Eurasian plate?,"Due to this collision, the sedimentary rocks which were accumulated in the geosyncline known as the Tethys were folded to form the mountain system of western Asia and Himalaya."
What is the other name for ‘Himadri’?,Inner Himalayas.
Name the highest peak of Himalayas.,"Mount Everest Nepal (8,848 metres)."
Name the highest peak of Himalayas in India.,"Kanchenjunga (8,598 metres)."
Name some of the highest peaks of Himalayas. ,"Dhaulagiri (8,172 metres), Nanga Parbat (8,126 metres), Annapurna (8,078 metres), Nanda Devi (7,817 metres), & Namcha Barwa (7,756 metres)."
Name the important passes located in Himalayas.,"Karakoram Pass, Shipkila Pass, Bomdilass Pass."
Where is Himalayan range ‘Himachal’ located?,The range lying to the south of the Himadri forms the most rugged mountain system and is known as Himachal or lesser Himalaya.
Which famous valleys are located in ‘Himachal’?,"The Famous valleys of Kashmir, the Kangra and Kullu are located in ‘Himachal’."
Which is the outer most range of Himalayas?,The outermost range of Himalayas is called the ‘Shiwaliks’.
What is average width and altitude of Shiwaliks?,"They extend over a width of 10–50 kms and have a altitude varying between 900 and 1,100 metres."
What are ‘Duns’?,The longitudinal valley lying between lesser Himalayas and the Shiwaliks are known as Duns.
Name some well known ‘Duns’.,"Dehra Dun, Kotli Dun & Patti Dun are some of the well known Duns."
Which hills are called ‘Purvanchal’?,"The Purvanchal comprises the Patkai hills, the Naga Hills, Manipur, the Mizo hills, Garo, Khasi and Jaintia hills."
How Purvanchal or Eastern hills are formed?,These hills running through the north eastern states are mostly composed of strong sandstones which are sedimentary rocks. They are covered with dense forests; they mostly run as parallel ranges & valleys.
Which three main river system helped in forming Northern plains?,"The three main river systems are—The Indus, the Ganga and the Brahmaputra. "
What are ‘distributaries’?,The rivers in their lower course split into numerous channels due to the deposition of silt. These channels are known as ‘distributaries’.
What does ‘doab’ mean?,‘Doab’ is made up of two words – ‘do’ means two and ‘ab’ means water.
To which parts Ganga Plains are extended?,"The Ganga Plain extends between Ghaggar and Teesta rivers. It is spread over the states of North India, Haryana, Delhi, U.P., Bihar, partly Jharkhand and West Bengal."
What is ‘Bhabar’?,"The rivers after descending from the mountains deposit pebbles in a narrow belt of about 8 to 16 kms in width lying parallel to the slopes of the Shiwaliks, known as ‘bhabar’."
Which region is called ‘Terai Region’?,"South of bhabar, the streams and rivers re-emerge and create a wet swampy & marshy region known as Terai."
Name the two major divisions of the Peninsular Plateau?,They are — The Central Highlands and The Deccan Plateau.
Where are The Central Highlands located?,The part of the Peninsular Plateau lying to the north of the Narmada river covering a major area of the Malwa Plateau is knows as Central Highlands.
What is the average elevation of Western Ghats?,Their average elevation is 900–1600 metres.
Name the highest of Western Ghats.,"The highest peak of Western Ghats is Anai Mudi (2,695 metres)."
Name the highest peak of Eastern Ghats.,"The highest peak of Eastern Ghats is Mahendra Giri (1,501 metres)."
Which is the only large river of Indian Desert of Rajasthan?,The Luni river.
What are Barchans? ,They are crescent–shaped sand dunes covering large areas of Rajasthan’s Thar desert.
By what names are Eastern Coastal plains called?,"In northern part, it is referred to as the Northern Circar while the Southern part is known as the ‘Coromandel Coast’."
Where is Chilika Lake located?,"Odisha, to the south of the Mahanadi Delta.  "
