questions,answers
"Correct and rewrite the statement: In April 1961, the leaders of China were worried that the United States of America would invade communist-ruled Cuba and overthrow Fidel Castro.","In April 1961, the leaders of the Union Soviet Socialist Republics (USSR) were worried that the United States of America would invade communist-ruled Cuba and overthrow Fidel Castro."
"Complete the sentence. The western alliance was formalised into an organisation, known as ________________.",North Atlantic Treaty Organisation (NATO).
State True or False: Non-Aligned Movement gave European countries a way of staying out of alliances.,False.
Match the following:  i. ii. iii. iv.  ‘A’ Alliance system by USA Berlin and Congo Socialism and Communism  a. b. c. d.  ‘B’ Josip Broz Tito Soviet Union Arenas of the Cold War ,"(i) – (c), (ii) – (d), (iii) – (b), (iv)– (a)."
When did Cold War begin?,Cold War began after the end of the Second World War.
Which two superpowers emerged after the Second World War?,America and Soviet Union.
Write the full form of NATO.,North Atlantic Treaty Organisation. 
Define ‘Bipolarity’. ,Division of the world into two power blocs led by U.S.A. and U.S.S.R. is called bipolarity.
Name two countries involved in communist bloc during Cold War.,Poland and North Korea.
What is the full form of ‘SEATO’? [CBSE (AI) 2015],The Southeast Asian Treaty Organisation.
Name two countries involved in Capitalist Bloc during Cold War.,France and Japan.
Name two countries involved in non-alliance during Cold War.,Nigeria and Sri Lanka.
Which treaty was signed by eastern alliance to counter NATO?,Warsaw Pact.
Why was the North Atlantic Treaty Organisation also called ‘Western Alliance’? ,"Most countries of Western Europe favoured to be with the US, which got formalised into and an organisation - the North Atlantic Treaty Organisation (NATO). Hence it was also called ‘Western Alliance’."
Who was the President of America during Cuban Missile Crises?,John F. Kennedy.
Who decided to place nuclear missiles in Cuba?,"Nikita Khrushchev, the leader of the Soviet Union."
What was the highest point of Cold War?,Cuban Missile Crises.
What did Kennedy order during Cuban Missile Crises?,Kennedy ordered American warships to intercept any soviet ship heading to Cuba as a way of warning the USSR of its seriousness. 
When was the First World War fought?,First World War was fought during 1914-1918.
When did Second World War end?,In 1945.
Who were leading allied forces during the Second World War?,"America, Soviet Union, Britain and France."
"Which countries headed the coalition, ‘Axis Powers’?","In the hands of Italy, Germany and Japan."
On which two Japanese cities did America drop atomic bombs?,Hiroshima and Nagasaki.
What were the code-names of the atomic bombs dropped by America on two Japanese cities?,The code-names of the atomic bombs dropped by America on two Japanese cities were ‘Little Boy’ and ‘Fat Man’.
What do you mean by deterrence?,"When both sides have the capacity to retaliate against an attack and to cause so much destruction that neither of the two can afford to initiate war, deterrence is said to be occurred."
Which organisation was formalised by Western Alliance?,North Atlantic Treaty Organisation (NATO).
Which organisation came into existence in April 1949? [ CBSE (AI) 2014],North Atlantic Treaty Organisation (NATO).
What is known as ‘Warsaw Pact’?,The eastern alliance is known as Warsaw Pact.
On which places were two superpowers poised for direct confrontations?,"Korea, Berlin and Congo."
Who acted as mediator in Congo Crises?,Chief Secretary of United Nations Organisation.
Which alliance can probably control the powers of America?  [CBSE (Comptt.) 2012],North Atlantic Treaty Organisation (NATO).
Why was the Warsaw Pact also called the ‘Eastern Alliance’? ,"Most countries of the Eastern Europe had joined the alliance led by USSR-i.e., the Warsaw pact- hence it is also known Eastern Alliance."
Who provided third alternative to newly decolonised countries in bipolarity?,Non-Aligned Movement (NAM)
Who were the leaders of Non-aligned Movement?,"Jawaharlal Nehru, Sukarno, Josip Broz Tito, Gamal Abdel Nasser and Kwame Nkrumah."
What is Non-Aligned Movement (NAM)?,"The foreign policy of remaining independent, non-allied by staying away from alliance of two world’s superpowers."
Which report was brought out by the United Nations Conference on Trade and Development (UNCTAD) in 1972?,The United Nations Conference on Trade and Development (UNCTAD) brought out a report in 1972 entitled ‘Towards a New Trade Policy for Development’.
Which alliance did India support during the Cold War?,India’s policy was neither negative nor passive. India didn’t support either of the alliances during the Cold War. India was in favour of actively intervening in World affairs to soften Cold War rivalries.
What was the strength of the non-aligned countries as mediators between the super powers?,The strength of the Non-aligned countries as mediators between the super powers was based on their unity and their resolve to remain Non-aligned despite the attempts by the two super powers to bring them into their alliances.
With whom did India sign the treaty of friendship in 1971?,"India signed the treaty of friendship with USSR in August, 1971."
What do you mean by neutrality?,Neutrality refers principally to a policy of staying out of war.
When and where was first non-alliance Summit held? [CBSE (Comptt.) 2012] ,First non-alliance summit was held in Belgrade in 1961.
How many countries attended first non-alliance summit?,First non-alliance summit was attended by 25 countries.
"At present, how many countries are involved in non-alliance movement?","At present, 120 countries are involved in non-alliance movement."
Who is known by the name of ‘Third World’?,The member countries of non-aligned movement are known as ‘Third World’.
Is NAM neutral? ,"No. NAM is not neutral because neutrality means staying out of wars, whereas NAM countries were involved in wars. But at the same time, it promoted world peace. Neutrality does not aim at ending wars."
What is disarmament?,It is a process and policy of reduction of production and control of disastrous weapons.  
