questions,answers
Name the cells that regulates the opening and closing of stomata. ,Plywood industry.
Which meristem leads to growth in length?,"The meristematic regions that arises from root apical meristems are: (i) Protoderm, (ii) Procambium, (iii) Ground meristerm."
From where does the lateral root originate?,Pericycle of mature zone.
Name the tissues which provides mechanical strength to the plant organs.,Sclerenchyma tissues.
What is conjunctive tissue?,It is a narrow strip of tissue (parenchyma or sclerenchyma) that lies between xylem and phloem bundles of root.
What is the economic use of phloem fibres?,"They are used for making threads, ropes and coarse textiles."
Name the tissue represented by the jute fibres that are used for making the ropes.,Bast fibre (Phloem fibre). 
What are stomata?,Minute pores present on the surface of leaves are called stomata. They are meant for exchange of gases.
What are cotton fibres?,Cotton fibres are unicellular epidermal hair of seed of Gossypium sps.
What is a bark?,"Bark is the dead tissue, lying outside the cork cambium."
Define promeristem.,It is a part of apical meristem made up of actively dividing cells and their immediate derivatives.
Why is the root apical meristem sub-terminal?,Root apical meristem is sub-terminal because of the presence of a protective terminal root cap over it.
Name two types of parenchyma present in leaf?,Palisade and spongy parenchyma.
Name the cells that surround vascular bundles in dicot leaf. ,Vascular bundles are surrounded by a bundle sheath of parenchymatous cells.
Define calyptrogen.,It is a special meristematic region at the end of the root that given rise to cap.
What is quiescent centre?,It is a small region with low mitotic activity in the centre of the root apex.
What are casparian strips?,These are the thickenings of lignin and suberin formed around the anticlinal walls of endodermis to prevent plasmolysis.
What is an annual ring?,It is also called growth ring. A single growth ring formed each year is called annual ring.
What is the function of cock in plants?,Cork insulates the tree against heat and cold.
When do you refer a vascular bundle as a closed bundle?,When cambium is absent. 
What forms the cambial ring in a dicot stem during the secondary growth?,Fascicular and interfascicular strips of meristems.
What are collateral vascular bundles?,Conjoint bundles with xylem towards the inner side and phloem towards the outer side.
Name the plant I which bicollateral vascular bundles are found.,Cucurbita maxima (Kaddu).
What are the cells included in a stele?,"The cells included in a stele are Pericycle, vascular strands and pith."
What is the function of pith cells?,Pith cells store food in the form of starch.
What is Lysogineous cavity?,"In a mature vascular bundle, some of the protoxylem vessels and the xylem parenchyma cells dissolve or separate to form a water containing cavity Lysogineous cavity.  "
