questions,answers
What does ‘census’ mean?,"Census is an official counting of population done periodically. In India, it is done regularly every tenth year."
"According to 2011 census, which state is most populous?",According to census 2011 Uttar Pradesh with the population of 199.5 million people is the most populous state of India.
In which states of India does half of India’s population live?,"Almost half of India’s population lives in Uttar Pradesh, Maharashtra, Bihar, West Bengal and Andhra Pradesh."
How is density of population calculated?,Population density is calculated as the total number of persons living per square km area.
What was the population density of India in 2011 census?,382 person per sq. km.
What is the highest and lowest density of India?,Highest density of population is 1029 per sq. kms in West Bengal and lowest is 17 persons per sq. kms in Arunachal Pradesh.
Why do some states of India have sparse population?,Rugged terrain and unfavourable conditions are primarily responsible for sparse population in some states of India.
Why do most of the peninsular states have moderate population?,"Most of the peninsular states have moderate population because of hilly dissected and rocky nature of the terrain, moderate to low rainfall, shallow and less fertile soils."
Why do Northern plains and Kerala have very high density of population?,Northern plains and Kerala have a very high density of population because of flat plains with fertile soils and abundant rainfall. 
What does growth of population mean?,"Growth of population refers to the change in the number of inhabitants of a country during a specific period of time, say during the last ten years."
How do we get absolute increase in numbers of population?,It is obtained by simply subtracting the earlier population from the later population. It is referred as to absolute increase.
How is annual growth rate calculated?,The difference between birth rate and death rate gives us the annual growth rate.
How is birth rate calculated?,Birth rate is the number of live births per thousand persons in a year.
How is death rate counted?,Death rate is the number of deaths per thousand persons in a year.
What is the impact of migration on population?,"Migration plays a very significant role in changing the composition and distribution of population, normally it adds to the population. It also changes population composition of urban and rural population in terms of age and sex composition."
What does ‘Age Composition’ mean?,It refers to the number of people in different age groups in a country.
How is ‘Age Composition’ an important component of population?,"To an important degree, a person’s age influences what he needs, buys, does and his capacity to perform."
In which category are children below 15 years counted?,"Children are economically unproductive and need to be provided with food, clothing, education and medical care. So, they are counted in dependent population."
What is the age of working population in India?,Working population is aged between 15-59 years. They are economically productive and biologically reproductive.
What is the current sex ratio in India 2017? ,945 females for every thousand males.
What is the literacy rate of male and female as per the census of 2011?,It is 82.14 per cent for males and 65.46 per cent for females.
What is referred as occupational structure?,The distribution of population according to different types of occupation is referred as occupational structure.
What is NPP?,"NPP is National Population Policy 2000, a comprehensive family planning programme initiated by government of India.  "
