questions,answers
What is Barter System? ,Barter is a system of exchange in which goods are directly exchanged without the use of money.
What is a Cheque ? ,A Cheque is a paper instruction to the bank to pay a specific amount from the person’s account to the person in whose name the cheque has been issued. 
Recognize the situation when both the parties in a barter economy have to agree to sell and buy each other‘s commodities ? What is it called ? ,This is known as double coincidence of wants. 1
What is meant by double coincidence of wants ? ,"Both parties, the seller and they buyers have to agree to sell and buy each other commodities. Goods are directly exchanged without the use of money."
How does money eliminate the need for double coincidence of wants ? ,If you have money in your pocket you can purchase any thing at any time as you wish.
What are the two forms of modern currency ? ,Two forms of modern currency are :  Paper notes  Coins.
How does money act as medium of exchange ? ,It acts as an intermediate in the exchange process and transactions. We can buy things if we have money in our pockets.
Who issues currency notes in India? ,Reserve Bank of India.
Why one cannot refuse a payment made in rupees in India ? ,One cannot refuse a payment made in rupees because it is accepted as a medium of of exchange. The currency is authorized by the government of India.
Who supervises the functioning of formal sources of loan ? ,Reserve Bank of India .
