questions,answers
Define sound.,Sound is a type of energy that makes us hear.
What is vibration ?,The to and fro motion of an object is called vibration.
What is the other name of voice box ?,Larynx.
Which two properties of sound help us to recognize it ?,"Frequency, amplitude."
"Which animal can hear sounds of frequencies higher than 20,000 Hz ?","Dogs, cats."
Write a common ill effect of noise pollution.,Hypertension.
Does sound travel through all mediums?,"Yes, it travels through all mediums such as solid, liquid and gases."
Write a precaution to prevent eardrum damage.,"Never put a sharp, pointed or hard thing into your ear."
Define 1 Hertz.,1 Hz is one oscillation per second.
What is the unit of loudness. At and after which range noise becomes painful ?,"Decibel, at about 80 dB and afterwards the noise becomes audibly painful."
