questions,answers
What is Climate?,Climate refers to the sum total of weather conditions and variations over a large area for a long period of time (more than 30 years).
What does ‘weather’ mean?,Weather refers to the state of the atmosphere over an area at any point of time.
What are the elements of weather and climate?,"Temperature, atmospheric pressure, winds, humidity and precipitation are the elements of weather and climate."
What is the climate of India?,India’s climate is described as ‘Monsoon Type’ climate.
What is the variation of temperature in India?,In some parts of Rajasthan the highest temperature is 50°C and it is around – 45°C at Drass in Jammu and Kashmir.
What is the variation of annual precipitation in India?,The annual precipitation is over 400 cms in Meghalaya and less than 10 cms in Ladakh and western Rajasthan.
Define the term ‘Monsoon’.,The word monsoon is derived from the Arabic word ‘Mausim’ which literally means season. Monsoon refers to the seasonal reversal in the wind direction during a year.
Why are hills cooler during summer and people prefer to go to hill stations?,"As one goes from the surface of the earth to higher altitudes, the atmosphere becomes less dense and temperature decreases."
Which tropic passes just from the centre of India?,Tropic of Cancer.
Which surface winds are blowing from India? ,India lies in the regions of north easterly winds.
What is Coriolis force?,It is an apparent force caused by earth’s rotation. Coriolis force is responsible for deflecting winds towards the right in northern hemisphere and towards the left in the southern hemisphere.
What are Jet Streams?,Jet streams are fast blowing winds moving in the upper air atmosphere.
What are Western cyclonic disturbances?,The Western cyclonic disturbances are weather phenomena of the winter months brought in by the westerly flow from the Mediterranean region.
What do you understand by ITCZ?,It means Inter Tropical Convergence Zone. It is a broad trough of low pressure in equatorial latitude. This is where northeast and southeast trade winds converge.
How does the presence of high pressure in the east of Madagascar affect the Indian monsoon?,"The presence of the high pressure area, east of Madagascar approximately at 20°S over the Indian Ocean, its intensity and the position of this high pressure area also affects the Indian monsoon."
What do you understand by the term SO?,"SO means Southern Oscillation. Normally when the tropical eastern South Pacific ocean experiences high pressure, the tropical eastern Indian ocean experiences low pressure. This periodic change in pressure conditions is known as Southern Oscillation."
What is El Nino?,El Nino is a warm ocean current that flows past the Peruvian coast in place of cold Peruvian current every 2 to 5 years.
What does ENSO Mean?,"ENSO is the combination of El Nino and southern oscillation. The changes in pressure conditions are connected to El Nino, hence the phenomenon is referred to as ENSO."
Name the two branches of South-west Monsoons of India. ,(i) Arabian sea Branch (ii) Bay of Bengal Branch
What is ‘Mahawat’?,The total amount of winter rainfall is locally known as ‘Mahawat’.
What is ‘Loo’?,"These are strong gusty, hot dry winds blowing during the day over the north and northwestern India."
What is ‘Kaal Baisakhi’?,Kaal means destruction or calamity brought in the month of Baisakh. It is known as ‘Kaal Baisakhi’. It occurs in West Bengal and are pre-monsoon showers.
What are ‘Mango-Showers’?,"Mango showers are the pre-monsoon showers taking place on the coast of Kerala and Karnataka. Since they help in the early ripening of mangoes, they are called Mango showers."
Which region of India receives the highest rainfall in the world?,"Mawsynram in the southern region of Khasi hills in Meghalaya, receives the highest average rainfall in the world.  "
