,questions,answers
0,Q.1. Complete the sentence: functions as an important bloc in international economic organisations such as WTO.,Ans. European Union (EU)
1,Q.2. State True or False: Britain’s Margaret Thatcher kept the UK out of the European Market.,Ans. True.
2,"Q.3. Correct and rewrite the statement: Militarily, the EU’s combined armed forces are the largest in the world.","Ans. Militarily, the EU’s combined armed forces are the second largest in the world."
3,Q.4. Match the following: ‘A’ 1. Common members of EU and UN Security Council 2. Common European Currency 3. Regional Organisation 4. SEZs  ‘B’ 1. 2. 3. 4.  Euro China Britain and France ,"Ans. (i) – (d), (ii) – (a), (iii) – (b), (iv) – (c)."
4,Q.5. What is the full form of LOC?,Ans. Line of Control.
5,Q.6. Under whose leadership did Communist revolution start in 1949?,Ans. Mao.
6,Q.7. When did China end its solitude?,Ans. After starting two-sided relationship in America in 1972. 
7,Q.8. When did China become member of World Trade?,Ans. In 2001.
8,Q.9. Who formed SEZ?,Ans. China.
9,Q.10. What is the full form of SEZ?,Ans. Special Economic Zone.
10,Q.11. What is SEZ?,"Ans. SEZ is Special Economic Zone. Trade barriers, laws and regulations of these area are different from other parts of the country."
11,Q.12. When did China start ‘Open door’ policy?,Ans. In 1978.
12,Q.13. Who is being credited for initiating the ‘Open door’ policy?,Ans. Deng Xiaoping.
13,Q.14. When was the organisation for European Economic Community established?,"Ans. In 1948, under the influence of Marshall Plan."
14,Q.15. How many stars are there in the flag of European Union in total?,Ans. There are 12 stars.
15,Q.16. What is Marshall Plan?,Ans. The extension of America for massive financial help for reviving Europe’s economy came to be known as Marshall Plan.
16,Q.17. What was established under the Marshall Plan?,"Ans. Under the Marshall Plan, the Organisation for European Economic Cooperation (OEEC) was established in 1948."
17,Q.18. When was ‘Council of Europe’ formed?,Ans. ‘Council of Europe’ was formed in 1949.
18,Q.19. When did ‘European Economic Community’ establish?,Ans. In 1957.
19,Q.20. When was EU formalised? Write the name of its currency. [CBSE (AI) 2012] ,Ans. EU was formalised in 1992. ‘Euro’ is the name of its currency.
20,Q.21. What was ‘EU’s GDP in 2005?,Ans. EU’s GDP was more than US $12 trillion in 2005.
21,Q.22. Which two countries joined EU in 2007?,Ans. Bulgaria and Romania.
22,"Q.23. Who refused to adopt Maastricht policy and European currency, Euro?",Ans. Denmark and Sweden.
23,Q.24. Which two countries of EU have nuclear weapons?,Ans. Britain and France.
24,Q.25. How many nuclear weapons does EU have?,Ans. EU has 550 nuclear weapons.
25,Q.26. Write names of two EU member countries which are permanent members of UN security council. ,Ans. France and Britain.
26,Q.27. Write the full form of ASEAN.,Ans. Association of Southeast Asian Nations.
27,Q.28. What is ASEAN?,Ans. ASEAN is a political and economic organisation aimed primarily at promoting economic growth and regional stability among its members.
28,Q.29. When was ASEAN established?,Ans. ASEAN was established in 1967.
29,Q.30. Which five countries established ASEAN?,"Ans. Indonesia, Malaysia, Philippines, Singapore and Thailand established ASEAN."
30,Q.31. Write names of the two established member-countries of ASEAN. ,Ans. Indonesia and Malaysia.
31,Q.32. With which two ASEAN countries did India sign Free Trade Policy?,Ans. India signed Free Trade Policy with Singapore and Thailand. 
32,Q.33. How many countries are included in ASEAN at present?,Ans. There are 10 members in ASEAN at present.
33,Q.34. What is the objective of ASEAN?,"Ans. The objective of ASEAN is to accelerate economic growth and by means of economic growth, that social progress and cultural development could be achieved."
34,Q.35. What is the objective of ASEAN Economic community?,Ans. The objective of ASEAN Economic Community is to create a common market and production base within ASEAN states and to aid social and economic development in the region.
35,Q.36. Why was ASEAN established? ,Ans. ASEAN was established: • • •  to accelerate the economic growth. for Social progress and cultural development. to promote regional peace and stability. 
36,"Q.37. What was proposed by Chinese Prime Minister, Zhou Enlai?","Ans. Zhou Enlai, Prime Minister of China proposed the ‘four modernisations’ in the field of agriculture, industry, science and technology and military."
37,Q.38. When did China privatise agriculture?,Ans. In 1982.
38,Q.39. When did China enter in ‘World Trade Organisation’?,Ans. China entered WTO in 2001.
39,Q.40. What does the logo on the ASEAN flag symbolise?,Ans. The ten stalks of paddy represent the ten South-East Asian countries bound together in friendship and solidarity. The Circle represents the unity of ASEAN.
40,Q.41. When did discussion of resolving boundary conflicts between China and India start?,Ans. From 1981.
41,Q.42. Who visited China in 2010?,Ans. India’s President Pratibha Devi Singh Patil visited China in 2010.
42,Q.43. When did China’s President visit India? Write the name. ,"Ans. Present President of China visited India in September, 2014. His name is Xi Jinping."
43,Q.44. How much trade occurred between China–India in 2006?,Ans. A trade worth 18 Arab dollar was seen between China–India in 2006.
44,Q.45. Which is the second largest economy of the world?,Ans. Japanese economy is the second largest economy of the world.
45,Q.46. Where does Japan stand in terms of population in the world?,Ans. Tenth rank.
46,Q.47. What is the contribution of Japan in the budget of UN?,Ans. 20 per cent.  
